id	country	rule	tail	manufacturer	designation	site_country
7218	US	N-number	N31541	Stinson	10A	United States
7688	US	N-number	N124DS	Nieuport	11	United States
20980	CA	C-F/G registration	C-IPOR	Nieuport	11	Canada
25765	US	N-number	N6239B	Nieuport	11	United States
10559	US	N-number	N1642B	Luscombe	11A	United States
20683	CA	CF- registration	CF-HGN	Aeronca	11A Chief	Canada
26900	US	N-number	N9199E	Aeronca	11AC	United States
26929	US	N-number	N9318E	Aeronca	11AC	United States
20608	CA	C-F/G registration	C-FNGV	Aeronca	11Chief	Canada
8350	US	N-number	N18642	Monocoupe	110	United States
5944	US	N-number	N15E	Monocoupe	110	United States
10563	US	US registration (maker is not a UK airframe builder)	N2064	Monocoupe	110	United States
27036	US	N-number	N101H	Monocoupe	110Special	United States
20293	US	N-number	N208K	Nord	1101	United States
16608	DE	D- registration	D-EACF	Nord	1101Noralpha	Germany
19213	FR	F- registration	F-WDMU	Nord Aviation	1101Noralpha	France
19471	IL	4X- registration	4X-COA	Aero Commander	1121	Israel
23301	US	N-number	N16SK	Aero Commander	1121	Norway
24698	US	N-number	N910MH	Aero Commander	1121	United States
5942	US	US registration (maker is not a UK airframe builder)	N7808	Monocoupe	113	United States
9675	US	N-number	N9180E	Aeronca	11AC	United States
8419	US	N-number	N18137	Lockheed	12A	United States
22004	AU	VH- registration	VH-BHH	Lockheed	12A	Australia
7840	US	N-number	N72948	Cessna	120	United States
21754	AU	VH- registration	VH-BQC	Fawcett	120	Australia
18827	FR	F- registration	F-BBKU	SNCAN	1203	France
18309	FR	F- registration	F-BBET	Nord Aviation	1203Norécrin II	France
18489	FR	F- registration	F-BIFU	SNCAN	1203VI	France
14415	GB	RAF two-letter serial	ZD620	British Aerospace	125CC.3	United Kingdom
18907	FR	F- registration	F-BBSK	Mauboussin	129	France
18254	FR	F- registration	F-CROE	Nord Aviation	1300	France
18255	FR	F- registration	F-CRQH	Nord Aviation	1300	France
18310	FR	F- registration	F-CRNT	Nord Aviation	1300	France
18828	FR	F- registration	F-CRJI	SNCAN	1300	France
18829	FR	F- registration	F-CAXL	SNCAN	1300	France
7839	US	N-number	N74456	Bellanca	14-13-2	United States
22701	FR	F- registration	F-AZBP	Breguet	14A2	New Zealand
24079	US	N-number	N74223	Bellanca	14-13-2	United States
3913	MX	XB- registration	XB-FOU	Bellanca	14-13-2	United States
7841	US	N-number	N76483	Cessna	140	United States
12899	CL	CC- registration	CC-PRB	Cessna	140	Chile
23742	IS	TF- registration	TF-AST	Cessna	140	Iceland
1898	US	N-number	N143SC	Scaled Composites	143	United States
14682	GB	G- registration	G-JEAO	British Aerospace	146-100	United Kingdom
19356	IR	EP- registration	EP-MOK	BAe	146-300	Iran
14672	GB	RAF two-letter serial	ZE707	British Aerospace	146C.3	United Kingdom
14673	GB	RAF two-letter serial	ZE708	British Aerospace	146C.3	United Kingdom
16150	GB	RAF two-letter serial	ZE700	British Aerospace	146CC.2	United Kingdom
6190	GB	RAF two-letter serial	ZE701	British Aerospace	146CC2	United Kingdom
751	US	N-number	N69P	Monte-Copter	15	United States
11380	AR	LV- registration	LV-DIV	Lenticular	15S	Argentina
23261	NO	LN- registration	LN-FAF	Cessna	150	Norway
23876	US	N-number	N5998E	Cessna	150	United States
12898	CL	CC- registration	CC-KQZ	Cessna	150A	Chile
9061	US	N-number	N4373U	Cessna	150D	Thailand
21996	AU	VH- registration	VH-DML	Cessna	150E	Australia
351	US	N-number	N50198	Cessna	150H	United States
9401	TH	HS- registration	HS-AFB	Cessna	150H	Thailand
21157	CA	C-F/G registration	C-GAZG	Cessna	150H	Canada
26663	US	N-number	N1058M	Cessna	150J	United States
19768	US	N-number	N6164G	Cessna	150K	Turkey
3946	US	N-number	N18588	Cessna	150L	United States
24823	US	N-number	N1209Q	Cessna	150L	United States
24119	US	N-number	N714GR	Cessna	150M	United States
3599	US	N-number	N4644Q	Cessna	152	United States
19984	TR	TC- registration	TC-SEA	Cessna	152	Turkey
19542	IL	4X- registration	4X-CDF	Cessna	152	Israel
21928	AU	RAAF A-series serial	A9-164	Department of Aircraft Production	152Mk VA	Australia
21565	AU	RAAF A-series serial	A9-13	Department of Aircraft Production	152Mk VIII	Australia
21566	AU	RAAF A-series serial	A8-328	Department of Aircraft Production	156Mk 21	Australia
9676	US	N-number	N1065H	Aeronca	15AC	United States
10489	US	N-number	N1471H	Aeronca	15AC	United States
22429	NZ	RNZAF serial	NZ6373	BAC	167Mk.88	New Zealand
22691	NZ	ZK- registration	ZK-DAC	BAC	167Mk.88	New Zealand
20515	CA	C-F/G registration	C-IRFC	Nieuport	17	Canada
26961	US	N-number	N170RM	Nieuport	17	United States
26074	US	N-number	N14409	Beech	17B17L	United States
20225	US	N-number	N1918C	Nieuport	17bis	United States
26075	US	N-number	N962W	Beech	17C17L	United States
26079	US	N-number	N20753	Beech	17D17S	United States
26076	US	N-number	N19467	Beech	17E17L	United States
26077	US	N-number	N17083	Beech	17F17D	United States
26078	US	N-number	N20798	Beech	17F17D	United States
26080	US	N-number	N80308	Beech	17G17S	United States
26073	US	N-number	N499N	Beech	17R	United States
23865	US	N-number	N9708E	Bellanca	17-30A	United States
21550	AU	VH- registration	VH-ADL	Bristol	170	Australia
22588	NZ	ZK- registration	ZK-CLU	Bristol	170	New Zealand
22762	NZ	ZK- registration	ZK-BJT	Cessna	170B	New Zealand
25781	US	N-number	N3533C	Cessna	170B	United States
20559	CA	CF- registration	CF-TFX	Bristol	170Freighter Mk 31M	Canada
22215	AU	RAAF A-series serial	A81-1	Bristol	170Mk 21E	Australia
22567	NZ	ZK- registration	ZK-AYG	Bristol	170Mk.21	New Zealand
22568	NZ	ZK- registration	ZK-CRK	Bristol	170Mk.31E	New Zealand
22435	NZ	RNZAF serial	NZ5903	Bristol	170Mk.31M	New Zealand
14207	NZ	RNZAF serial	NZ5911	Bristol	170 Freighter Mk.31M	United Kingdom
21887	GB	RAF two-letter serial	XA220	Bristol	171HR.50	Australia
21549	AU	RAAF A-series serial	A91-1	Bristol	171Mk 3	Australia
21770	GB	RAF two-letter serial	XR592	Bristol	171Mk 4	Australia
21886	GB	RAF two-letter serial	XD653	Bristol	171Mk 4	Australia
16632	DE	Bundeswehr NN+NN	78+20	Bristol	171Sycamore Mk 52	Germany
17151	DE	Bundeswehr NN+NN	78+04	Bristol	171Sycamore Mk 52	Germany
17280	DE	D- registration	D-HFUM	Bristol	171Sycamore Mk 52	Germany
6665	US	N-number	N9172B	Cessna	172	United States
8599	US	N-number	N9344L	Cessna	172	United States
20616	CA	C-F/G registration	C-FUGE	Cessna	172	Canada
22502	NZ	ZK- registration	ZK-CGI	Cessna	172	New Zealand
26966	US	N-number	N6922X	Cessna	172B	United States
23615	FI	OH- registration	OH-COO	Cessna	172C Skyhawk	Finland
7068	US	N-number	N15138	Cessna	172E	United States
24103	US	N-number	N80522	Cessna	172L	United States
3947	US	N-number	N12774	Cessna	172M	United States
3600	US	N-number	N734SV	Cessna	172N	United States
17135	DE	D- registration	D-ECJB	Cessna	172P	Germany
3601	US	N-number	N6259V	Cessna	172RG	United States
3602	US	N-number	N6048Z	Cessna	172S	United States
14209	GB	RAF two-letter serial	XF785	Bristol	173Mk.1	United Kingdom
7842	US	N-number	N7205M	Cessna	175	United States
7862	US	N-number	N32402	Rearwin	175	United States
7782	US	N-number	N1910F	Cessna	177B	United States
12972	CO	HK- registration	HK-1086	Beechcraft	18	Colombia
11163	BR	PT- registration	PT-CGV	Lockheed	18	Brazil
20610	CA	CF- registration	CF-UWE	Beechcraft	18	Canada
11307	US	N-number	N714S	Lockheed	18-56	Argentina
38378	ZA	ZS- registration	ZS-ASN	Lockheed	18-08	South Africa
7108	US	N-number	N250D	Lockheed	18-56	United States
7109	US	N-number	N1940S	Lockheed	18-56	United States
13047	US	N-number	N1846G	Lockheed	18-56	Peru
15022	GB	G- registration	G-BVWL	Air & Space	18A	United Kingdom
7865	US	N-number	N6128S	Air and Space	18A	United States
747	US	N-number	N6131S	Air & Space Manufacturing	18A	United States
16619	DE	D- registration	D-HOBB	Air & Space	18A Flymobil	Germany
26081	US	N-number	N87AZ	Beech	18D	United States
26082	US	N-number	N80036	Beech	18D18S	United States
7265	US	N-number	N13JC	Beechcraft	18E18S	United States
15552	GB	G- registration	G-ASUG	Beech	18E18S	United Kingdom
26083	US	N-number	N712JS	Beech	18E18S	United States
24097	US	N-number	N404H	Beechcraft	18G18S	United States
24101	US	N-number	N5959F	Beechcraft	18H18	United States
37938	US	N-number	N495FA	Beechcraft	18S	Malta
12973	CO	HK- registration	HK-1197	Beechcraft	18S	Colombia
5773	US	N-number	N1538C	Cessna	180	United States
23743	IS	TF- registration	TF-HIS	Cessna	180	Iceland
21614	AU	RAAF A-series serial	A98-351	Cessna Aircraft	180A	Australia
21613	AU	RAAF A-series serial	A98-045	Cessna Aircraft	180D	Australia
10517	US	N-number	N90685	Commonwealth	185	United States
24329	US	N-number	N92972	Commonwealth	185	United States
25788	US	N-number	N92910	Rearwin	185	United States
11545	AR	LV- registration	LV-HUA	Cessna	185A	Argentina
15925	GB	RAF two-letter serial	XF926	Bristol	188	United Kingdom
22503	NZ	ZK- registration	ZK-CQN	Cessna	188	New Zealand
22590	NZ	ZK- registration	ZK-CQZ	Cessna	188	New Zealand
20887	CA	C-F/G registration	C-GXQM	Cessna	188AGwagon	Canada
15589	GB	G- registration	G-BVWK	Air & Space	18A	United Kingdom
16382	IE	EI- registration	EI-CNG	Air & Space	18A	United Kingdom
12974	US	N-number	N6132S	Air & Space	18A	Colombia
7837	US	N-number	N1978W	Beechcraft	19B	United States
25778	US	N-number	N3474V	Cessna	190	United States
26920	US	N-number	N34740	Rearwin	190F	United States
12805	CL	CC- registration	CC-FCC	Cessna	195	Chile
17799	US	N-number	N3480V	Cessna	195	Germany
7805	US	N-number	N9864A	Cessna	195A	United States
10512	US	N-number	N1071D	Cessna	195A	United States
19776	US	N-number	N195RS	Cessna	195A	Turkey
21492	CA	CF- registration	CF-KIY	Cessna	195Businessliner	Canada
20957	CA	C-F/G registration	C-GUOW	Mortensen	1PM	Canada
18853	FR	F- registration	F-PEEX	SFAN	2	France
25428	US	N-number	N93204	Martin	2-0-2	United States
20633	CA	CF- registration	CF-FTC	Taylorcraft	20	Canada
12896	CL	CC- registration	CC-DIV	Beechcraft	200CT	Chile
9490	TH	HS- registration	HS-IAM	Travel Air	2000	Thailand
18830	FR	F- registration	F-CBGB	SNCAN	2000	France
18831	FR	F- registration	F-CBVP	SNCAN	2000	France
21063	CA	CF- registration	CF-AFG	Travel Air	2000	Canada
23958	US	US registration (maker is not a UK airframe builder)	N1081	Travel Air	2000	United States
6282	US	N-number	N74TD	Beechcraft	2000	United States
7756	US	N-number	N8283S	Beechcraft	2000	United States
9680	US	N-number	N214JB	Beechcraft	2000	United States
3894	US	N-number	N39TU	Beechcraft	2000A	United States
7838	US	N-number	N1556S	Beechcraft	2000A	United States
7770	US	N-number	N5228U	Cessna	206	United States
11382	AR	LQ- registration	LQ-JAL	Cessna	206	Argentina
15251	GB	G- registration	G-ASWJ	Beagle	206-206	United Kingdom
14199	GB	G- registration	G-ARRM	Beagle	206-206X	United Kingdom
23473	FI	OH- registration	OH-HRD	Agusta-Bell	206A	Finland
23547	FI	OH- registration	OH-HRG	Agusta-Bell	206A	Finland
20412	CA	C-F/G registration	C-FQZB	Bell	206A	Canada
22662	NZ	ZK- registration	ZK-HVH	Bell	206A	New Zealand
6286	US	N-number	N10729	Bell	206B	United States
22061	AU	VH- registration	VH-DIK	Bell	206B	Australia
22663	NZ	ZK- registration	ZK-HUV	Bell	206B	New Zealand
21610	AU	RAAF A-series serial	A17-001	Bell Helicopter	206B-1	Australia
21764	AU	RAAF A-series serial	A17-005	Bell Helicopter	206B-1	Australia
22042	AU	RAAF A-series serial	A17-007	Bell	206B-1	Australia
22085	AU	RAAF A-series serial	A17-012	Bell Helicopter	206B-1	Australia
15021	IT	Matricola Militare	MM80927	Agusta-Bell	206C-1	United Kingdom
5752	US	N-number	N3911Z	Bell	206L-1	United States
9796	US	N-number	N73927	Bell	207	United States
21229	CA	C-F/G registration	C-FAAE	Fleet	21M	Canada
11386	AR	LV- registration	LV-LJU	Cessna	210B	Argentina
10533	US	US registration (maker is not a UK airframe builder)	N2816	Fairchild	22C7A	United States
10534	US	N-number	N12454	Fairchild	22C7B	United States
25550	US	N-number	N14768	Fairchild	22C7D	United States
7113	US	US registration (maker is not a UK airframe builder)	N9396	Fairchild	22C7F	United States
11072	BR	PP- registration	PP-TBD	Fairchild	22C7G	Brazil
17802	DE	D- registration	D-EFWC	MBB	223Flamingo PFM	Germany
4492	US	N-number	N88B	Learjet	23	United States
7759	US	N-number	N505PF	Learjet	23	United States
20120	US	N-number	N23BY	Learjet	23	United States
26347	US	N-number	N824LJ	Lear Jet	23	United States
8172	US	N-number	N241JA	Learjet	24	United States
27034	US	N-number	N193DB	Learjet	24B	United States
6461	US	N-number	N24RL	Nieuport	24bis	United States
18874	FR	F- registration	F-AZKA	SZD	24C	France
25551	US	US registration (maker is not a UK airframe builder)	N2890	Fairchild	24C8A	United States
27025	US	N-number	N14799	Fairchild	24C8C	United States
23874	US	N-number	N14749	Fairchild	24C8C	United States
21225	CA	CF- registration	CF-AZT	Fairchild	24C8E Argus	Canada
7847	US	N-number	N16852	Fairchild	24C8F	United States
7016	US	N-number	N281FP	Learjet	24D	United States
23731	US	N-number	N311LJ	Learjet	24D	Finland
10535	US	N-number	N23E	Fairchild	24G	United States
24030	US	N-number	N19139	Fairchild	24G	United States
23962	US	N-number	N19128	Fairchild	24H	United States
24628	US	N-number	N19129	Fairchild	24H	United States
19518	IL	4X- registration	4X-AAR	Fairchild	24J	Israel
10536	US	N-number	N48411	Fairchild	24R-40	United States
25549	US	N-number	N81228	Fairchild	24R-46	United States
26899	US	N-number	N77658	Fairchild	24R-46A	United States
25548	US	N-number	N20632	Fairchild	24R-9	United States
25552	US	N-number	N52427	Fairchild	24W-41A	United States
7072	US	N-number	N66143	Fairchild	24W-41A	United States
8451	US	N-number	N18695	Fairchild	24W-9	United States
2815	US	N-number	N396CG	Convair	240-5	United States
21134	CA	CF- registration	CF-JRQ	Boeing	247D	Canada
11548	FR	F- registration	F-AIEH	Latécoère	25-3R	Argentina
11431	AR	LV- registration	LV-WXY	Learjet	25D	Argentina
11569	AR	LV- registration	LV-OEL	Learjet	25D	Argentina
16978	US	N-number	N106TA	Nord	262A-21	Germany
23891	US	USAF/US Army fiscal-year serial	67-15412	Hughes	269A	United States
23461	DK	OY- registration	OY-HAD	Hughes	269A1	Denmark
12799	CL	CC- registration	CC-KKO	Hughes	269B	Chile
22480	NZ	ZK- registration	ZK-HHY	Hughes	269C	New Zealand
22575	NZ	ZK- registration	ZK-HSJ	Hughes	269C	New Zealand
22669	NZ	ZK- registration	ZK-HEI	Hughes	269C	New Zealand
6462	US	N-number	N5597M	Nieuport	27	United States
7689	US	N-number	N127LT	Nieuport	27	United States
20226	US	N-number	N27XZ	Nieuport	27	United States
19206	FR	F- registration	F-AJNQ	Latécoère	28	France
25199	US	N-number	N27226	Nieuport	28	United States
9743	US	USAF/US Army fiscal-year serial	17-6531	Nieuport	28C.1	United States
20862	CA	C-F/G registration	C-FEWL	Nieuport	28C.1	Canada
9723	US	N-number	N203JS	Cumulus	2F	United States
21046	GB	British serial (maker is a UK airframe builder)	N8156	Sopwith	2F.1Camel	Canada
10548	US	N-number	N376H	Great Lakes	2T-1	United States
24638	US	N-number	N304Y	Great Lakes	2T-1	United States
5894	US	N-number	N77RF	Great Lakes	2T-1A	United States
25107	US	N-number	N625CJ	Great Lakes	2T-1A	United States
26914	US	N-number	N11339	Great Lakes	2T-1A	United States
21163	CA	CF- registration	CF-ODR	S.C.A.N.	30	Canada
8371	US	US registration (maker is not a UK airframe builder)	N3947	Travel Air	3000	United States
25592	US	N-number	N533PE	Cessna	305A	United States
24764	US	N-number	N32FL	Cessna	305E	United States
21265	CA	CF- registration	CF-DCH	Bellanca	31-55A Senior Skyrocket	Canada
15456	GB	G- registration	G-APNJ	Cessna	310	United Kingdom
21562	AU	VH- registration	VH-AER	Cessna	310	Australia
3948	US	N-number	N182Z	Cessna	310A	United States
9682	US	N-number	N3051D	Cessna	310A	United States
21940	AU	VH- registration	VH-MGY	Cessna	310B	Australia
26562	US	N-number	N900S	Cessna	310B	United States
21941	AU	VH- registration	VH-REK	Cessna	310C	Australia
7772	BR	PP- registration	PP-OTI	Cessna	310F	United States
23996	US	N-number	N6775X	Cessna	310F	United States
19279	CY	5B- registration	5B-CGL	Cessna	310K	Cyprus
11426	AR	LQ- registration	LQ-JGS	Cessna	310N	Argentina
18906	FR	F- registration	F-CRCR	Le Castel	310P	France
3603	US	N-number	N315CB	Cessna	310Q	United States
19314	IR	EP- registration	EP-JBA	Cessna	310Q	Iran
22101	AU	VH- registration	VH-JOS	Cessna Aircraft	310R	Australia
24789	US	N-number	N310MG	Cessna	310R	United States
12731	AR	LV- registration	LV-IFV	Cessna	320	Argentina
12897	CL	CC- registration	CC-CEP	Cessna	320D	Chile
8192	US	N-number	N2254R	Nord	3202	United States
26093	US	N-number	N4091S	Beech	33F33A	United States
16366	GB	G- registration	G-BDBS	Short	330	United Kingdom
22102	AU	VH- registration	VH-CMY	Cessna Aircraft	336	Australia
23420	DK	OY- registration	OY-CBB	Cessna	337	Denmark
7810	US	N-number	N6274F	Cessna	337A	United States
12890	CL	CC- registration	CC-CFN	Cessna	337A	Chile
24247	US	N-number	N888B	Cessna	337B	United States
23262	NO	LN- registration	LN-TVY	Cessna	337D	Norway
21942	AU	VH- registration	VH-DBA	Cessna	337G	Australia
21386	CA	C-F/G registration	C-FUEO	Cessna	337Skymaster	Canada
12900	CL	CC- registration	CC-CHZ	Cessna	340	Chile
22332	AU	VH- registration	VH-III	Cessna	340	Australia
23039	SE	SE- registration	SE-ISF	Saab	340	Sweden
24333	US	N-number	N24AT	Convair	340	United States
8114	US	N-number	N999MF	Learjet	35	United States
7836	US	N-number	N80441	Beechcraft	35	United States
7771	US	N-number	N5124C	Beechcraft	35B35	United States
17976	DE	Bundeswehr NN+NN	75+35	Saab	35Draken	Germany
26088	US	N-number	N545H	Beech	35H	United States
26089	US	N-number	N6826Q	Beech	35S	United States
2733	US	N-number	N167TP	Saab	35SK35XD	United States
22488	NZ	ZK- registration	ZK-APJ	Porterfield	35W	New Zealand
5769	DE	D- registration	D-ADLH	CASA	352L	United States
16612	DE	D- registration	D-ANOY	CASA	352L	Germany
20291	US	N-number	N352JU	CASA	352L	United States
38379	ZA	ZS- registration	ZS-AFA	CASA	352L	South Africa
19084	FR	F- registration	F-PEVA	Potez	36-13	France
26091	US	N-number	N9675R	Beech	36A36	United States
26092	US	N-number	N4668M	Beech	36A36	United States
6329	US	N-number	N44BH	Lancair	360	United States
16401	GB	G- registration	G-BKMW	Short	360	United Kingdom
23887	US	N-number	N360BV	Boeing	360	United States
9834	US	USAF/US Army fiscal-year serial	23-2501	Bell	360	United States
5762	US	N-number	N70700	Boeing	367-80	United States
22595	NZ	ZK- registration	ZK-HHK	Hughes	369	New Zealand
7149	US	N-number	N387RF	Hughes	369A	United States
6325	US	N-number	N11035	Hughes	369D	United States
22671	NZ	ZK- registration	ZK-HLY	Hughes	369HS	New Zealand
23892	US	USAF/US Army fiscal-year serial	65-12916	Hughes	369OH-6A	United States
3882	US	N-number	N1038V	Aero Spacelines	377G	United States
18159	FR	F- registration	F-BPPA	Aero Spacelines	377 SGT	France
8544	US	N-number	N1921V	Waco	4	United States
18854	FR	F- registration	F-PFOO	SFAN	4	France
8545	US	N-number	N920W	Waco	4	United States
7761	US	N-number	N569Y	Stearman	4D	United States
25460	US	N-number	N259S	Martin	4-0-4	United States
8308	US	N-number	N145S	Martin	4-0-4	United States
26428	US	US registration (maker is not a UK airframe builder)	N9610	Ford	4-AT B	United States
26453	US	US registration (maker is not a UK airframe builder)	N4542	Ford	4-AT B	United States
7110	US	US registration (maker is not a UK airframe builder)	N9612	Ford	4-AT E	United States
18894	FR	F- registration	F-AZQP	Avia	40P	France
3886	US	N-number	N64VM	Beechcraft	400	United States
7117	US	US registration (maker is not a UK airframe builder)	N1004	Travel Air	4000	United States
9491	TH	HS- registration	HS-PSP	Travel Air	4000	Thailand
10628	US	US registration (maker is not a UK airframe builder)	N9049	Travel Air	4000	United States
26662	US	US registration (maker is not a UK airframe builder)	N8858	Travel Air	4000	United States
7762	US	N-number	N671H	Travel Air	4000D-4000	United States
14533	GB	G- registration	G-OVNE	Cessna	401	United Kingdom
22103	AU	VH- registration	VH-DZY	Cessna Aircraft	402A	Australia
24073	US	N-number	N450A	Martin	404	United States
4519	US	N-number	N462M	Martin	404	United States
6750	US	N-number	N411DE	Bell	412HP	United States
884	US	N-number	N2172H	ERCO	415	United States
4003	US	N-number	N78X	ERCO	415C	United States
23744	IS	TF- registration	TF-EHA	Erco	415C	Iceland
23745	IS	TF- registration	TF-ZZZ	Erco	415C	Iceland
24567	US	N-number	N2389H	Erco	415C	United States
25533	US	N-number	N99182	Erco	415C	United States
25589	US	N-number	N2327H	Erco	415C	United States
441	US	N-number	N99229	ERCO	415D	United States
12813	CL	CC- registration	CC-PBZ	ERCO	415E	Chile
24086	US	N-number	N3430H	Erco	415G	United States
10708	SD	ST- registration	ST-PRC	Cessna	421	Ethiopia
22468	NZ	ZK- registration	ZK-KBF	Cessna	421B	New Zealand
23151	NO	LN- registration	LN-KLK	Convair	440	Norway
26901	US	N-number	N25607	Sky Craft	446	United States
26958	US	N-number	N4507L	Evangel	4500-300	United States
7135	US	N-number	N4501L	Evangel	4500-300-II	United States
23879	US	N-number	N5H	Bell	47B	United States
20521	CA	CF- registration	CF-FZX	Bell	47D	Canada
10502	US	N-number	N12087	Bell	47D-1	United States
20180	US	N-number	N929B	Bell	47D1	United States
7150	US	N-number	N6356X	Continental Copters	47G	United States
11152	BR	PP- registration	PP-HUF	Bell	47G	Brazil
20884	CA	CF- registration	CF-NHH	Bell	47G	Canada
23258	NO	LN- registration	LN-ORW	Bell	47G	Norway
23422	DK	OY- registration	OY-HDH	Bell	47G	Denmark
8900	AU	VH- registration	VH-JCN	Bell	47G-2	Singapore
13565	IN	VT- registration	VT-DXE	Bell	47G-2	India
21606	AU	RAAF A-series serial	A1-568	Bell Helicopter	47G-2	Australia
22465	NZ	ZK- registration	ZK-HFU	Bell	47G-3B	New Zealand
21607	AU	RAAF A-series serial	A1-720	Bell Helicopter	47G-3B-1	Australia
21608	AU	RAAF A-series serial	A1-732	Bell Helicopter	47G-3B-1	Australia
21769	AU	RAAF A-series serial	A1-410	Bell	47G-3B-1	Australia
21834	AU	RAAF A-series serial	A1-158	Bell Helicopter	47G-3B-1	Australia
21883	AU	RAAF A-series serial	A1-640	Bell	47G-3B-1	Australia
22187	AU	RAAF A-series serial	A1-738	Bell Helicopter	47G-3B-1	Australia
22422	AU	RAAF A-series serial	A1-404	Bell	47G-3B-1	Australia
22430	NZ	RNZAF serial	NZ3706	Bell	47G-3B-1	New Zealand
22498	NZ	ZK- registration	ZK-ICJ	Bell	47G-3B-1	New Zealand
23170	SE	SE- registration	SE-HME	Bell	47G-3B-1	Norway
6590	US	N-number	N481RD	Bell	47G-3B-2	United States
6636	US	N-number	N147RS	Bell	47G-3B-2	United States
38369	GB	RAF two-letter serial	XT562	Agusta-Bell	47G-3B1	South Africa
15024	GB	G- registration	G-AZYB	Bell	47H	United Kingdom
23881	US	N-number	N8010E	Bell	47H-1	United States
24588	US	N-number	N996B	Bell	47H-1	United States
23303	NO	LN- registration	LN-ORD	Bell	47J	Norway
25848	US	N-number	N73960	Bell	47J-2	United States
22601	NZ	ZK- registration	ZK-HGO	Bell	47J-2A	New Zealand
23882	US	N-number	N8523F	Bell	47J-2A	United States
20680	CA	CF- registration	CF-IVE	Bell	47J-3B1 Ranger	Canada
16620	US	USAF/US Army fiscal-year serial	58-5348	Bell	47OH-13H	Germany
17924	GB	RAF two-letter serial	XT120	Bell	47OH-13H	Germany
21602	AU	RAAF A-series serial	A1-407	Bell	47G-3B-1	Australia
22038	AU	RAAF A-series serial	A1-406	Bell	47G-3B-1	Australia
9045	TH	HS- registration	HS-TZM	Enstrom	480	Thailand
9088	TH	HS- registration	HS-TZN	Enstrom	480	Thailand
7138	US	N-number	N224MJ	Camair	480	United States
24090	US	N-number	N214N	Camair	480B	United States
21064	CA	CF- registration	CF-AMB	Stearman	4EM Junior Speedmail	Canada
8464	US	US registration (maker is not a UK airframe builder)	N9645	Ford	5-AT B	United States
8465	US	US registration (maker is not a UK airframe builder)	N9667	Ford	5-AT B	United States
26345	US	US registration (maker is not a UK airframe builder)	N8419	Ford	5-AT C	United States
10541	US	N-number	N414H	Ford	5-AT C	United States
19361	IR	EP- registration	EP-YPZ	Fokker	50	Iran
25106	US	N-number	N21070	Aeronca	50C	United States
26094	US	N-number	N14VU	Beech	50D50E	United States
21153	CA	CF- registration	CF-BXP	Fleet	50K Freighter	Canada
7757	US	N-number	N501CC	Cessna	500	United States
