name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
"DECEA Headquarters AMX Display, Rio de Janeiro",Rio de Janeiro,Rio de Janeiro,Brazil,,South America,"Av. General Justo 160, Centro, Rio de Janeiro - RJ (Aeroporto Santos Dumont)",,public,-22.9100,-43.1625
"Comando-Geral do Corpo de Fuzileiros Navais AF-1 Display, Rio de Janeiro",Rio de Janeiro,Rio de Janeiro,Brazil,,South America,"Fortaleza de São José, Ilha das Cobras, Rio de Janeiro - RJ",,restricted,-22.91101,-43.20937
"Brigada de Infantaria Paraquedista Aircraft Displays, Vila Militar",Rio de Janeiro,Rio de Janeiro,Brazil,,South America,"Vila Militar, Deodoro, Rio de Janeiro - RJ",,restricted,-22.86219,-43.40062
Museu da Aviação Naval,São Pedro da Aldeia,Rio de Janeiro,Brazil,,South America,"Base Aérea Naval de São Pedro da Aldeia, São Pedro da Aldeia - RJ",https://www.marinha.mil.br/comforaernav/museu_naval,public,-22.78128,-42.12004
Base Aérea Naval de São Pedro da Aldeia Displays,São Pedro da Aldeia,Rio de Janeiro,Brazil,,South America,"Base Aérea Naval de São Pedro da Aldeia, São Pedro da Aldeia - RJ",,restricted,-22.78128,-42.12004
"Academia Militar das Agulhas Negras Meteor Display, Resende",Resende,Rio de Janeiro,Brazil,,South America,"Rodovia Presidente Dutra km 306, Resende - RJ",,restricted,-22.6203,-44.4494
Base Aérea de Anápolis Aircraft Displays,Anápolis,Goiás,Brazil,,South America,"BR-414 km 4, Anápolis - GO",,restricted,-16.2386,-48.9722
Base Aérea de Brasília Aircraft Displays,Brasília,Distrito Federal,Brazil,,South America,"Área Militar do Aeroporto, Brasília - DF",,restricted,-15.8658,-47.9076
"CENIPA Headquarters Aircraft Displays, Brasília",Brasília,Distrito Federal,Brazil,,South America,"SHIS QI 05 Área Especial 12, Lago Sul, Brasília - DF",,restricted,-15.79399,-47.88280
"COMDABRA Mirage III Display, Brasília",Brasília,Distrito Federal,Brazil,,South America,"Setor Militar Urbano, Brasília - DF",,restricted,-15.77070,-47.92267
Base Aérea de Canoas Aircraft Displays,Canoas,Rio Grande do Sul,Brazil,,South America,"Av. Guilherme Schell 3450, Canoas - RS",,restricted,-29.9456,-51.1436
Base Aérea de Santa Maria Aircraft Displays,Santa Maria,Rio Grande do Sul,Brazil,,South America,"RSC-287 km 258, Santa Maria - RS",,restricted,-29.7108,-53.6922
Base Aérea de Florianópolis SH-1D Display,Florianópolis,Santa Catarina,Brazil,,South America,"Av. Santos Dumont s/n, Florianópolis - SC",,restricted,-27.6703,-48.5525
Base Aérea de Campo Grande C-115 Display,Campo Grande,Mato Grosso do Sul,Brazil,,South America,"Av. Duque de Caxias s/n, Campo Grande - MS",,restricted,-20.4643,-54.6644
"CINDACTA IV Gate Guard, Manaus",Manaus,Amazonas,Brazil,,South America,"Av. do Turismo 1350, Tarumã, Manaus - AM",,restricted,-2.98344,-60.04415
"Comando Militar da Amazônia C-115 Display, Manaus",Manaus,Amazonas,Brazil,,South America,"Av. Coronel Teixeira, Ponta Negra, Manaus - AM",,restricted,-3.07132,-60.09134
Base Aérea de Belém Aircraft Displays,Belém,Pará,Brazil,,South America,"Av. Júlio César s/n, Val-de-Cans, Belém - PA",,restricted,-1.3840,-48.4829
Base Aérea de Boa Vista A-29 Display,Boa Vista,Roraima,Brazil,,South America,"Av. Venezuela s/n, Boa Vista - RR",,restricted,2.8459,-60.6966
Base Aérea de Porto Velho AT-26 Display,Porto Velho,Rondônia,Brazil,,South America,"Av. Lauro Sodré s/n, Porto Velho - RO",,restricted,-8.7020,-63.8993
"Campo de Provas Brigadeiro Velloso AT-26A Display, Cachimbo",Novo Progresso,Pará,Brazil,,South America,"Serra do Cachimbo, Novo Progresso - PA",,restricted,-9.3333,-54.9647
Base Aérea de Natal Aircraft Displays,Parnamirim,Rio Grande do Norte,Brazil,,South America,"Av. Aviador Pinto Martins s/n, Parnamirim - RN",,restricted,-5.9083,-35.2492
Base Aérea do Recife and CINDACTA III Aircraft Displays,Recife,Pernambuco,Brazil,,South America,"Av. Mascarenhas de Morais, Imbiribeira, Recife - PE",,restricted,-8.1279,-34.9230
"II COMAR Aircraft Displays, Recife",Recife,Pernambuco,Brazil,,South America,"Segundo Comando Aéreo Regional, Recife - PE",,restricted,-8.14716,-34.90954
Hospital de Aeronáutica de Recife AT-26 Display,Recife,Pernambuco,Brazil,,South America,"Av. Mascarenhas de Morais, Imbiribeira, Recife - PE",,restricted,-8.05849,-34.88482
Colégio Militar do Recife AT-26 Display,Recife,Pernambuco,Brazil,,South America,"Av. Gov. Agamenon Magalhães s/n, Recife - PE",,restricted,-8.05849,-34.88482
Base Aérea de Fortaleza Aircraft Displays,Fortaleza,Ceará,Brazil,,South America,"Av. Borges de Melo 205, Fortaleza - CE",,restricted,-3.7777,-38.5302
Base Aérea de Salvador Aircraft Displays,Salvador,Bahia,Brazil,,South America,"Praça Gago Coutinho s/n, São Cristóvão, Salvador - BA",,restricted,-12.9086,-38.3225
DTCEA Fernando de Noronha AT-26 Display,Fernando de Noronha,Pernambuco,Brazil,,South America,Aeroporto de Fernando de Noronha - PE,,restricted,-3.8547,-32.4283
Centro de Lançamento da Barreira do Inferno Visitor Centre,Parnamirim,Rio Grande do Norte,Brazil,,South America,"RN-063 km 11, Parnamirim - RN",,public,-5.9250,-35.1631
"Academia da Força Aérea Aircraft Park, Pirassununga",Pirassununga,São Paulo,Brazil,,South America,"Estrada de Aguaí s/n, Pirassununga - SP",https://www2.fab.mil.br/afa/,restricted,-21.9853,-47.3353
"Escola de Especialistas de Aeronáutica Aircraft Displays, Guaratinguetá",Guaratinguetá,São Paulo,Brazil,,South America,"Av. Brigadeiro Adhemar Lyrio s/n, Guaratinguetá - SP",https://www2.fab.mil.br/eear/,restricted,-22.7917,-45.2044
"Escola Preparatória de Cadetes do Ar Aircraft Displays, Barbacena",Barbacena,Minas Gerais,Brazil,,South America,"Rua Santos Dumont 149, Barbacena - MG",https://www2.fab.mil.br/epcar/,restricted,-21.23495,-43.73599
Parque de Material Aeronáutico de Lagoa Santa Aircraft Displays,Lagoa Santa,Minas Gerais,Brazil,,South America,"Av. Brigadeiro Eduardo Gomes s/n, Lagoa Santa - MG",,restricted,-19.65816,-43.90585
Parque de Material Aeronáutico de São Paulo Aircraft Displays,São Paulo,São Paulo,Brazil,,South America,"Av. Olavo Fontoura, Santana, São Paulo - SP (Campo de Marte)",,restricted,-23.5092,-46.6375
"COMGAP Headquarters AMX Display, São Paulo",São Paulo,São Paulo,Brazil,,South America,"Av. Olavo Fontoura 1200, Santana, São Paulo - SP",,restricted,-23.51610,-46.65049
"Base Aérea de São Paulo Aircraft Displays, Guarulhos",Guarulhos,São Paulo,Brazil,,South America,"Base Aérea de São Paulo, Cumbica, Guarulhos - SP",,restricted,-23.4368,-46.4727
"DCTA Campus Aircraft Displays, São José dos Campos",São José dos Campos,São Paulo,Brazil,,South America,"Praça Marechal Eduardo Gomes 50, Vila das Acácias, São José dos Campos - SP",,restricted,-23.2289,-45.8711
Memorial Aeroespacial Brasileiro,São José dos Campos,São Paulo,Brazil,,South America,"Praça Marechal Eduardo Gomes 50 (DCTA), São José dos Campos - SP",,public,-23.18678,-45.88545
"CINDACTA II Aircraft Displays, Curitiba",Curitiba,Paraná,Brazil,,South America,"Av. Erasto Gaertner 1000, Bacacheri, Curitiba - PR",,restricted,-25.4033,-49.2336
Colégio Militar de Curitiba AMX Display,Curitiba,Paraná,Brazil,,South America,"Praça Cel. Aristides Ferreira Neto 2, Tarumã, Curitiba - PR",,restricted,-25.42960,-49.27127
"Aeroporto de Itacoatiara C-46 Commando, Itacoatiara",Itacoatiara,Amazonas,Brazil,,South America,"Aeroporto Municipal Mariano Arico, Itacoatiara, AM",,public,-3.14779,-58.44610
"Praia do Avião ATR 42, Manaus",Manaus,Amazonas,Brazil,,South America,"'Praia do Avião', rural zone near Manaus, AM (exact site not established)",,public,-3.13163,-59.98250
"Praça Túlio Azevedo Aircraft, Tefé",Tefé,Amazonas,Brazil,,South America,"Praça Túlio Azevedo, Tefé, AM",,public,-3.34517,-64.70765
"Praça do Avião ATR 72, Altamira",Altamira,Pará,Brazil,,South America,"Praça do Avião, Bairro Cidade Nova, Altamira, PA",,public,-3.20406,-52.20996
"Aeroporto de Carajás DC-3 Monument, Parauapebas",Parauapebas,Pará,Brazil,,South America,"In front of Aeroporto de Carajás (SBCJ), Parauapebas, PA",,public,-6.06968,-49.89033
"Praça Umuarama Xavante Monument, Porto Nacional",Porto Nacional,Tocantins,Brazil,,South America,"Praça Umuarama, Porto Nacional, TO",,public,-10.69309,-48.41024
"Avenida João Alencar Xavante Monument, Boa Vista",Boa Vista,Roraima,Brazil,,South America,"Central median of Avenida João Alencar, between Cauamé and Aeroporto districts, Boa Vista, RR",,public,2.82085,-60.67196
"Mirante Arthur Ramos EMB-120, Pilar",Pilar,Alagoas,Brazil,,South America,"Mirante Arthur Ramos ('Avião Pilar Air'), Pilar, AL",,public,-9.60167,-35.95113
"Praça do Avião Gloster Meteor, Salvador",Salvador,Bahia,Brazil,,South America,"Praça do Avião, at the entrance to Base Aérea de Salvador beside the airport access road (bamboo corridor), Salvador, BA",,public,-12.98225,-38.48128
"Praça Orungan Mirage III Monument, Salvador",Salvador,Bahia,Brazil,,South America,"Praça Orungan, Avenida Oceânica, Ondina, Salvador, BA",,public,-12.98225,-38.48128
"Praça do Avião Learjet, Luís Eduardo Magalhães",Luís Eduardo Magalhães,Bahia,Brazil,,South America,"Praça do Avião, Luís Eduardo Magalhães, BA",,public,-12.08691,-45.78342
"Praça Pinto Martins Xavante, Camocim",Camocim,Ceará,Brazil,,South America,"Praça Pinto Martins, centre of Camocim, CE",,public,-2.90099,-40.84274
"Praça do Aviador T-27 Tucano, Umirim",Umirim,Ceará,Brazil,,South America,"Praça do Aviador, Umirim, CE (beside the municipal aviation museum)",,public,-3.67777,-39.34873
"Apoena Ecopark DC-3, Pacatuba",Pacatuba,Ceará,Brazil,,South America,"Apoena Ecopark, Pacatuba, CE",,public,-3.98649,-38.62120
"Genesis Park Boeing 727, Guaraciaba do Norte",Guaraciaba do Norte,Ceará,Brazil,,South America,"Parque Genesis, Guaraciaba do Norte, CE",,public,-4.16329,-40.74960
"CavePark Boeing 737, Maracanaú",Maracanaú,Ceará,Brazil,,South America,"Parque de Eventos CavePark, Maracanaú, CE",,public,-3.87794,-38.62477
"Parque Águas do Cariri ATR 42, Missão Velha",Missão Velha,Ceará,Brazil,,South America,"Parque Águas do Cariri, Missão Velha, CE",,public,-7.24849,-39.14348
"Sport Club do Recife Jet Monument, Recife",Recife,Pernambuco,Brazil,,South America,"Sede do Sport Club do Recife, Ilha do Retiro, Recife, PE",,appointment,-8.06169,-34.90393
"Posto Marrone HS-125 Display, Recife",Recife,Pernambuco,Brazil,,South America,"Posto Marrone fuel station, Recife, PE",,public,-8.05849,-34.88482
"Lago João Barbosa Xavante Monument, Triunfo",Triunfo,Pernambuco,Brazil,,South America,"Beside Lago João Barbosa, near the Prefeitura, Triunfo, PE",,public,-7.83630,-38.10426
"Praça dos Três Poderes Xavante, Florânia",Florânia,Rio Grande do Norte,Brazil,,South America,"Praça dos Três Poderes (Praça da Bandeira), in front of the Prefeitura, Florânia, RN",,public,-6.12687,-36.81832
"Aeroporto de Mossoró Xavante Roundabout, Mossoró",Mossoró,Rio Grande do Norte,Brazil,,South America,"Roundabout at Aeroporto Gov. Dix-Sept Rosado (SBMS), Mossoró, RN",,public,-5.19043,-37.34439
"Praça Félix Gomes Xavante, Parelhas",Parelhas,Rio Grande do Norte,Brazil,,South America,"Praça Félix Gomes Pereira, beside the Igreja Matriz, Parelhas, RN",,public,-6.69137,-36.65845
"Praça do Avião Mirage III, Gama",Gama,Distrito Federal,Brazil,72433-056,South America,"Rodovia DF-001 km 56, in front of the III Força Aérea headquarters, Gama, Brasília, DF",,public,-15.975773,-48.011238
Clube de Aeronáutica de Brasília Aircraft Displays,Brasília,Distrito Federal,Brazil,,South America,"Clube de Aeronáutica de Brasília, Setor de Clubes Esportivos Sul, Brasília, DF",,appointment,-15.79399,-47.88280
"Clube dos Suboficiais e Sargentos da Aeronáutica Mirage, Brasília",Brasília,Distrito Federal,Brazil,,South America,"Clube SO/SGT da Aeronáutica, Brasília, DF",,appointment,-15.79399,-47.88280
"Avião de Taguatinga Boeing 767, Taguatinga",Taguatinga,Distrito Federal,Brazil,,South America,"Avenida Elmo Serejo, Taguatinga, DF",,public,-15.83696,-48.09047
"Praça Americano do Brasil Mirage III, Anápolis",Anápolis,Goiás,Brazil,,South America,"Praça Americano do Brasil, Anápolis, GO",,public,-16.32401,-48.95625
"BR-414 Air Base Access Mirage III, Anápolis",Anápolis,Goiás,Brazil,,South America,"Rodovia BR-414, access road to Base Aérea de Anápolis, GO",,public,-16.33328,-48.95258
"Praça Tenente Diomar Meneses F-5 Monument, Jataí",Jataí,Goiás,Brazil,,South America,"Praça Tenente Diomar Meneses, Jataí, GO",,public,-17.88562,-51.72030
"Auto Posto DDD EMB-120, Simolândia",Simolândia,Goiás,Brazil,,South America,"Auto Posto DDD, BR-020 km 183, Simolândia, GO",,public,-14.47333,-46.48328
"Praça Cel Av Chaves Filho T-6 Monument, Campo Grande",Campo Grande,Mato Grosso do Sul,Brazil,,South America,"Praça Coronel Aviador Chaves Filho, in front of the Base Aérea de Campo Grande gate, Campo Grande, MS",,public,-20.46402,-54.61629
"Praça da Cultura DC-3, Alta Floresta",Alta Floresta,Mato Grosso,Brazil,,South America,"Praça da Cultura, Alta Floresta, MT",,public,-9.86822,-56.08292
"Praça Siegfried Roewer DC-3, Canarana",Canarana,Mato Grosso,Brazil,,South America,"Praça Siegfried Roewer, Canarana, MT",,public,-13.55646,-52.26912
"Restaurante Avião Bandeirante, Cuiabá",Cuiabá,Mato Grosso,Brazil,,South America,"Restaurante e Lanchonete Avião (formerly Panela de Ferro), Rodovia Helder Cândia MT-010 (Estrada da Guia), north of Cuiabá, MT",,public,-15.59867,-56.09913
Aeroporto de Santo Antônio do Leverger Boeing 727,Santo Antônio do Leverger,Mato Grosso,Brazil,,South America,"Aeroporto de Santo Antônio do Leverger, MT",,public,-15.84980,-56.08614
Aeroporto de Sorriso Mirage III,Sorriso,Mato Grosso,Brazil,,South America,"Aeroporto Regional de Sorriso, MT",,public,-12.47872,-55.67213
"Praça do Rosário F-5 Monument, Carandaí",Carandaí,Minas Gerais,Brazil,,South America,"Praça do Rosário ('Praça do Avião'), Carandaí, MG",,public,-20.95239,-43.80439
"Beer 737 Airline Bar, Caratinga",Caratinga,Minas Gerais,Brazil,,South America,"Beer 737 Airline Bar, Caratinga, MG",,public,-19.79009,-42.14053
"Shopping do Avião Boeing 737, Contagem",Contagem,Minas Gerais,Brazil,,South America,"Shopping Só Marcas Container ('Shopping do Avião'), Contagem, MG",,public,-19.91327,-44.08410
"Praça do Avião Bandeirante, Espera Feliz",Espera Feliz,Minas Gerais,Brazil,,South America,"Praça Espaço de Lazer Municipal ('Praça do Avião'), Espera Feliz, MG",,public,-20.64942,-41.90807
"Praça do Soldado Super Puma Monument, Itajubá",Itajubá,Minas Gerais,Brazil,,South America,"Praça Dr. Pereira dos Santos ('Praça do Soldado'), Itajubá, MG",,public,-22.42382,-45.45242
Mercadão de Lagoa Santa Boeing 737,Lagoa Santa,Minas Gerais,Brazil,,South America,"Mercadão Internacional de Lagoa Santa, Lagoa Santa, MG",,public,-19.63574,-43.89661
"Pousada Viviê EMB-120 Brasília, Monte Verde",Camanducaia,Minas Gerais,Brazil,,South America,"Pousada Viviê Aero Flyer, Monte Verde district, Camanducaia, MG",,appointment,-22.75528,-46.14444
Trevo de Nanuque Boeing 737,Nanuque,Minas Gerais,Brazil,,South America,"BR-418 junction with LMG-719, near Nanuque airport, MG",,public,-17.83939,-40.34946
"Trevo de Paraguaçu T-6 Monument, Paraguaçu",Paraguaçu,Minas Gerais,Brazil,,South America,"Highway junction at the entrance to Paraguaçu (BR-491), MG",,public,-21.54722,-45.73750
"Aero Sofiste Gulfstream I, Divino de São Lourenço",Divino de São Lourenço,Espírito Santo,Brazil,,South America,"Aero Sofiste, Limo Verde, Divino de São Lourenço, ES (Caparaó region)",,appointment,-20.62246,-41.68531
"Praça do Avião A-1 AMX, Ilha do Governador",Rio de Janeiro,Rio de Janeiro,Brazil,,South America,"Praça do Avião, Ilha do Governador, Rio de Janeiro, RJ (near Galeão)",,public,-22.91101,-43.20937
"Fazenda Gamela Eco Resort Hercules, Cantagalo",Cantagalo,Rio de Janeiro,Brazil,,South America,"Fazenda Gamela Eco Resort, Estrada Cantagalo-Carmo km 20, Cantagalo, RJ",,appointment,-21.86740,-42.30624
"Ipiabas Boeing 727, Barra do Piraí",Barra do Piraí,Rio de Janeiro,Brazil,,South America,"Ipiabas district, Barra do Piraí, RJ",,public,-22.47034,-43.82633
Orla de São Pedro da Aldeia AF-1 Skyhawk Monument,São Pedro da Aldeia,Rio de Janeiro,Brazil,,South America,"Orla da praia, city centre near the bus terminal, São Pedro da Aldeia, RJ",,public,-22.78128,-42.12004
"RJ-140 Sea King Monument, São Pedro da Aldeia",São Pedro da Aldeia,Rio de Janeiro,Brazil,,South America,"Small plaza on Rodovia RJ-140 beside the 'Eu amo São Pedro da Aldeia' sign, RJ",,public,-22.78128,-42.12004
"Memorial dos Expedicionários Xavante, Volta Redonda",Volta Redonda,Rio de Janeiro,Brazil,,South America,"Memorial dos Expedicionários da 2ª Guerra, Praça Monte Castelo / central reservation of the Radial Leste by the Aero Clube, Volta Redonda, RJ",,public,-22.52186,-44.10401
"Praça Antônio Pedro da Costa Xavante, Volta Redonda",Volta Redonda,Rio de Janeiro,Brazil,,South America,"Praça Antônio Pedro da Costa, Bairro Niterói, Volta Redonda, RJ",,public,-22.52186,-44.10401
"Parque Ecológico Xavante, Americana",Americana,São Paulo,Brazil,,South America,"Entrance of Parque Ecológico Dr. Cid Almeida Franco (zoo), Americana, SP",,public,-22.73925,-47.33060
"Praça do Viscount, Araçariguama",Araçariguama,São Paulo,Brazil,,South America,"Public square, Araçariguama, SP",,public,-23.43883,-47.06131
"Auto Posto Bambina Buffalo, Araraquara",Araraquara,São Paulo,Brazil,,South America,"Auto Posto Bambina, Rodovia Washington Luís, entrance to Araraquara, SP",,public,-21.78867,-48.17731
"Praça Dr. Roberto Mercatelli Mirage III, Araras",Araras,São Paulo,Brazil,,South America,"Praça Dr. Roberto Mercatelli, Araras, SP",,public,-22.35692,-47.38388
Aeroporto de Assis T-33 Display,Assis,São Paulo,Brazil,,South America,"Aeroporto Municipal de Assis, SP",,public,-22.66209,-50.42062
"Praça Duarte Silva Bandeirante Monument, Bauru",Bauru,São Paulo,Brazil,,South America,"Praça Duarte Silva, Avenida Mário Mattosinho, Vila Aviação, Bauru, SP",,public,-22.31738,-49.06898
Trevo de Boracéia Xavante Monument,Boracéia,São Paulo,Brazil,,South America,"Junction on Rodovia SP-261 at the access to Boracéia, SP",,public,-22.19535,-48.78019
Embraer Botucatu Phenom 100 Gate Display,Botucatu,São Paulo,Brazil,,South America,"Entrance of the Embraer Botucatu plant, SP",,public,-22.88796,-48.44107
"Constellation Lodge Embraer 190, Campos do Jordão",Campos do Jordão,São Paulo,Brazil,,South America,"Pousada Constellation Lodge, Campos do Jordão, SP",,appointment,-22.73830,-45.59038
"Praça dos Idosos T-33, Dumont",Dumont,São Paulo,Brazil,,South America,"Praça dos Idosos (central square), Dumont, SP",,public,-21.23914,-47.97477
"Praça Santos Dumont Xavante Monument, Guarulhos",Guarulhos,São Paulo,Brazil,07064-005,South America,"Praça Santos Dumont, Vila Galvão, Guarulhos, SP",,public,-23.45810,-46.56857
"Chalé Cantos das Águas C-97, Igaratá",Igaratá,São Paulo,Brazil,,South America,"Chalé Cantos das Águas, Igaratá, SP",,appointment,-23.20635,-46.15693
"Praça do Aviador Xavante, Itápolis",Itápolis,São Paulo,Brazil,,South America,"Praça do Aviador, Itápolis, SP",,public,-21.59584,-48.81227
"Aeródromo do Broa Displays, Itirapina",Itirapina,São Paulo,Brazil,,South America,"Aeródromo do Broa (Represa do Broa), Itirapina, SP",,public,-22.25365,-47.82125
"Trevo Marechal Fontenelle T-27 Tucano, Pirassununga",Pirassununga,São Paulo,Brazil,,South America,"Access triangle 'Marechal do Ar Henrique Raymundo Dyott Fontenelle', Rodovia Anhanguera / Jardim América entrance, Pirassununga, SP",,public,-21.9986803,-47.4444114
"Praça Ninho das Águias T-25, Pirassununga",Pirassununga,São Paulo,Brazil,,South America,"Praça Ninho das Águias, Pirassununga, SP",,public,-21.99805,-47.42809
"Praça T-25 Universal 1932, Pirassununga",Pirassununga,São Paulo,Brazil,,South America,"Public square, Pirassununga, SP (exact square not established)",,public,-21.99805,-47.42809
"Cidade da Criança T-6 Monument, Pirassununga",Pirassununga,São Paulo,Brazil,,South America,"Praça Dr. Fernando Costa 'Cidade da Criança' (Praça do Castelinho), Pirassununga, SP",,public,-21.99805,-47.42809
"Rotatória Jacto Xavante Monument, Pompéia",Pompéia,São Paulo,Brazil,,South America,"Roundabout in front of Máquinas Agrícolas Jacto at the town entrance, Pompéia, SP",,public,-22.10883,-50.17208
"Posto Rodomaster Aircraft Displays, Regente Feijó",Regente Feijó,São Paulo,Brazil,,South America,"Posto Rodomaster, Rodovia Raposo Tavares, access to Regente Feijó, SP",,public,-22.21911,-51.30346
"Praça Fernando Arruda Botelho Xavante, São Carlos",São Carlos,São Paulo,Brazil,,South America,"Praça Fernando Arruda Botelho, São Carlos, SP",,public,-22.01804,-47.89115
"Hotel Slaviero ATR 42s, São Carlos",São Carlos,São Paulo,Brazil,,South America,"Hotel Slaviero, Rodovia Washington Luís, entrance to São Carlos, SP",,public,-22.01804,-47.89115
"UNICEP ATR 42, São Carlos",São Carlos,São Paulo,Brazil,,South America,"Centro Universitário Central Paulista (UNICEP), São Carlos, SP",,appointment,-22.01804,-47.89115
"Parque Santos Dumont Aircraft Monuments, São José dos Campos",São José dos Campos,São Paulo,Brazil,,South America,"Parque Santos Dumont, city centre, São José dos Campos, SP",,public,-23.18678,-45.88545
"Embraer Main Gate C-95 Bandeirante, São José dos Campos",São José dos Campos,São Paulo,Brazil,,South America,"Main gate of the Embraer Ozires Silva plant, Avenida Brigadeiro Faria Lima, São José dos Campos, SP",,public,-23.18678,-45.88545
"Parque da Represa Xavante, São José do Rio Preto",São José do Rio Preto,São Paulo,Brazil,,South America,"Parque da Represa, in front of Lago 2, São José do Rio Preto, SP",,public,-20.81259,-49.38042
"Clube Náutico Guarapiranga T-6, São Paulo",São Paulo,São Paulo,Brazil,,South America,"Associação dos Funcionários Públicos - Clube de Campo Náutico Guarapiranga, Represa de Guarapiranga, São Paulo, SP",,appointment,-23.55065,-46.63338
"Praça Francisco Hitner Xavante, Vinhedo",Vinhedo,São Paulo,Brazil,,South America,"Praça Francisco Hitner ('Praça do Avião'), Vinhedo, SP",,public,-23.02985,-46.97498
Aeroporto Executivo de Cascavel Boeing 737,Cascavel,Paraná,Brazil,,South America,"Aeroporto Executivo SDSJ, Rodovia PR-486 km 08, Cascavel, PR",https://aerocascavelexecutivo.com.br/museu/,appointment,-24.95550,-53.45605
"Universidade Tuiuti Xavante, Curitiba",Curitiba,Paraná,Brazil,,South America,"Universidade Tuiuti do Paraná campus, Curitiba, PR",,public,-25.42960,-49.27127
"Parque Nacional do Iguaçu VC-96 Boeing 737, Foz do Iguaçu",Foz do Iguaçu,Paraná,Brazil,,South America,"Beside the visitor entrance of the Parque Nacional do Iguaçu (Cataratas), Foz do Iguaçu, PR",,public,-25.53040,-54.58307
"Praça do Avião Xavante, Maringá",Maringá,Paraná,Brazil,,South America,"Praça do Avião (roundabout near Unicesumar), Maringá, PR",,public,-23.42527,-51.93821
"Hangar Espaço Gastronômico Airbus A318, Morretes",Morretes,Paraná,Brazil,,South America,"Espaço gastronômico 'Hangar', riverside, Morretes, PR",,public,-25.47685,-48.83225
"Praça dos Expedicionários Embraer 721, Paranavaí",Paranavaí,Paraná,Brazil,,South America,"Praça dos Expedicionários, Paranavaí, PR",,public,-23.09865,-52.48032
"Sideral Cargo Bandeirante, São José dos Pinhais",São José dos Pinhais,Paraná,Brazil,,South America,"Rodovia do Contorno Leste 9119, in front of the Sideral Cargo headquarters, São José dos Pinhais, PR",,public,-25.53382,-49.20722
"Praça do Avião Regente, Toledo",Toledo,Paraná,Brazil,,South America,"Praça do Avião, Toledo, PR",,public,-24.72224,-53.74025
"Praça Santos Dumont Aero Commander, Umuarama",Umuarama,Paraná,Brazil,,South America,"Praça Santos Dumont, Umuarama, PR",,public,-23.76211,-53.31162
