Hjalmar Nyrops varv|Blériot XI||3|||fixed_wing|monoplane|military|other||The oldest preserved aeroplane in Sweden.|Bleriot XI;Nyrop nr 3|on_display|Tekniska museet
De Havilland|J 28|B|28307|Vampire||fixed_wing|monoplane|military|fighter|||DH.100;DH100;D.H.100;Vampire;J28;c/n V.0578|on_display|Svedinos Bil- och Flygmuseum
De Havilland|J 28|B|28311|Vampire||fixed_wing|monoplane|military|fighter|||DH.100;DH100;D.H.100;Vampire;J28;c/n V.0590|on_display|Jämtlands flyg- och lottamuseum
De Havilland|J 28|B|28391|Vampire||fixed_wing|monoplane|military|fighter||Privately owned.|DH.100;DH100;D.H.100;Vampire;J28;c/n V.0768|on_display|Vännäs Motor- och Flygmuseum
De Havilland|J 28|C-2|28444|Vampire||fixed_wing|monoplane|military|fighter|||DH.100;DH100;D.H.100;Vampire;J28;c/n V.15738|on_display|Svedinos Bil- och Flygmuseum
De Havilland|J 28|C-2|28451|Vampire||fixed_wing|monoplane|military|fighter||In storage; not on public display.|DH.100;DH100;D.H.100;Vampire;J28;c/n V.15745|in_storage|Flygvapenmuseum
De Havilland|J 33||33015|Venom||fixed_wing|monoplane|military|fighter||Ex SE-DCA.|DH.112;DH112;D.H.112;Venom;J33;c/n 12364|on_display|Västerås Flygmuseum
De Havilland|J 33||33025|Venom||fixed_wing|monoplane|military|fighter|||DH.112;DH112;D.H.112;Venom;J33;c/n 12374|on_display|Flygvapenmuseum
Donnet-Lévêque|Type A||L II|||fixed_wing|biplane|military|other|||Donnet-Leveque Type A|on_display|Flygvapenmuseum
Dornier|Fpl 53||53271|Do 27||fixed_wing|monoplane|military|utility||Kept in flyable condition but not airworthy-certified. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Do 27;Do27;Do 27A-4;Fpl53|on_display|Aeroseum
Dornier|Fpl 53||53273|Do 27||fixed_wing|monoplane|military|utility||In storage; not on public display.|Do 27;Do27;Do 27A-4;Fpl53|in_storage|Flygvapenmuseum
Douglas|Tp 79||79001|DC-3||fixed_wing|monoplane|military|transport||Conserved wreck; the aircraft was shot down and later salvaged.|DC-3;DC3;C-47;C47;Dakota;Tp79;c/n 9001|on_display|Flygvapenmuseum
Douglas|Tp 79||79002|DC-3|Munin|fixed_wing|monoplane|military|transport||Displayed outdoors at the parachute ranger camp at Karlsborg in the care of the FJS veterans association.|DC-3;DC3;C-47;C47;Dakota;Tp79;c/n 9103|on_display|Karlsborgs fästning
Douglas|Tp 79||79007|DC-3||fixed_wing|monoplane|military|transport||Displayed outdoors.|DC-3;DC3;C-47;C47;Dakota;Tp79;c/n 13647|on_display|Flygvapenmuseum
Douglas|AD-4|W|SE-EBB|Skyraider||fixed_wing|monoplane|civilian|utility|||AD-4W;AD4W;Skyraider;A-1;A1;c/n 127947|in_storage|Arlanda Flygsamlingar
Douglas|AD-4|W|SE-EBC|Skyraider||fixed_wing|monoplane|civilian|utility||Currently under restoration.|AD-4W;AD4W;Skyraider;A-1;A1;c/n 127960|under_restoration|Svedinos Bil- och Flygmuseum
English Electric|Tp 52||52001|Canberra||fixed_wing|monoplane|military|electronic_warfare||Ex-RAF WH711.|Canberra;Canberra B.2;Canberra B2;Tp52;c/n 71180|on_display|Svedinos Bil- och Flygmuseum
English Electric|Tp 52||52002|Canberra||fixed_wing|monoplane|military|electronic_warfare||Ex-RAF WH905.|Canberra;Canberra B.2;Canberra B2;Tp52;c/n SH1648|on_display|Flygvapenmuseum
FFVS|J 22|A|22185|||fixed_wing|monoplane|military|fighter||On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|J22|on_display|Ängelholms Flygmuseum
FFVS|J 22|B|22280|||fixed_wing|monoplane|military|fighter|||J22|on_display|Flygvapenmuseum
Fiat|J 11||2543|CR.42 Falco||fixed_wing|biplane|military|fighter|||CR.42 Falco;CR.42;CR42;Falco;J11;c/n 921|on_display|Flygvapenmuseum
Fieseler|S 14||3815|Fi 156 Storch||fixed_wing|monoplane|military|recon||Composite airframe assembled from two different S 14 aircraft.|Fi 156 Storch;Fi 156;Fi156;Storch;S14|on_display|Flygvapenmuseum
Focke-Wulf|Sk 12||647|Fw 44 Stieglitz||fixed_wing|biplane|military|trainer||Ex SE-BWZ. Owned by Svedinos and on loan to Aeroseum. Swedish-built by CVV.|Fw 44 Stieglitz;Fw 44;Fw44;Stieglitz;Sk12;c/n 29|on_display|Aeroseum
Focke-Wulf|Sk 12||670|Fw 44 Stieglitz||fixed_wing|biplane|military|trainer||Ex SE-EGB. Swedish-built by CVV.|Fw 44 Stieglitz;Fw 44;Fw44;Stieglitz;Sk12;c/n 52|on_display|Flygvapenmuseum
Fokker|S 6|A|3386|C.V-E||fixed_wing|biplane|military|recon|||C.V-E;C.V;CV-E;S6;c/n 207|on_display|Flygvapenmuseum
Flygkompaniets verkstäder Malmslätt|Ö 1||056|Tummelisa||fixed_wing|biplane|military|trainer|||FVM Ö 1;O 1;Tummelisa;c/n 147|on_display|Flygvapenmuseum
Gloster|J 8|A|278|Gladiator||fixed_wing|biplane|military|fighter||Wears the markings F 19 H of the Swedish volunteer wing in Finland.|Gladiator;Gladiator Mk.II;Gladiator MkII;J8;c/n G559066|on_display|Flygvapenmuseum
Gloster|Meteor|T.7|SE-CAS|Meteor||fixed_wing|monoplane|civilian|trainer||In storage; not on public display.|Meteor;Meteor T.7;Meteor T7;Meteor TT.20;c/n 1496|in_storage|Flygvapenmuseum
Gloster|Meteor|T.7|SE-DCC|Meteor||fixed_wing|monoplane|civilian|trainer|||Meteor;Meteor T.7;Meteor T7;Meteor TT.20;c/n 1525|on_display|Svedinos Bil- och Flygmuseum
Hawker|B 4||714|Hart||fixed_wing|biplane|military|bomber||Wears the markings F 19 M of the Swedish volunteer wing in Finland.|Hart;B4;c/n 52|on_display|Flygvapenmuseum
Hawker|S 9|||Osprey||fixed_wing|biplane|military|recon||In storage; only wreck components survive.|Osprey;S9;c/n ???|in_storage|Flygvapenmuseum
Hawker|J 34||34016|Hunter||fixed_wing|monoplane|military|fighter|||Hunter;Hunter Mk.50;Hunter Mk50;J34|on_display|Flygvapenmuseum
Hawker|J 34||34070|Hunter||fixed_wing|monoplane|military|fighter|||Hunter;Hunter Mk.50;Hunter Mk50;J34|on_display|Svedinos Bil- och Flygmuseum
Heinkel|Sk 5||66|HD 35||fixed_wing|biplane|military|trainer||Ex SE-SAM.|HD 35;HD35;Sk5;c/n 235|on_display|Flygvapenmuseum
Junkers|Tp 2||6|W 34||fixed_wing|monoplane|military|transport||Ex SE-BYA. Built by AB Flygindustri at Limhamn. Former F 4 red W.|W 34;W34;Trp 2;Tp2;c/n 2835|in_storage|Arlanda Flygsamlingar
Junkers|B 3||155|Ju 86K||fixed_wing|monoplane|military|bomber||An original German-built Junkers and the only surviving Ju 86 in the world.|Ju 86;Ju86;Ju 86K;B3;c/n 0860422|on_display|Flygvapenmuseum
Klemm|Sk 15|A|5025|Kl 35||fixed_wing|monoplane|military|trainer||Ex SE-BGF.|Kl 35;Kl35;Sk15|on_display|Svedinos Bil- och Flygmuseum
Klemm|Sk 15|A|5049|Kl 35||fixed_wing|monoplane|military|trainer||Ex SE-BHF.|Kl 35;Kl35;Sk15|in_storage|Arlanda Flygsamlingar
Klemm|Sk 15|A|5075|Kl 35||fixed_wing|monoplane|military|trainer||On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Kl 35;Kl35;Sk15|on_display|Swedish Forced Landing Collection
Lockheed|Tp 84||841|C-130 Hercules||fixed_wing|monoplane|military|transport||Swedish Air Force code 841. Flown to Aeroseum from Cambridge in July 2022 and dismantled there under Armed Forces contract after nearly 50 years of service and withdrawal in 2014; per Aeroseum's own July 2022 release the forward fuselage was to be preserved for Flygvapenmuseum in Linkoping. Present location and display state not confirmed on site. Earlier Swedish Wikipedia text listing a complete aircraft at Aeroseum is superseded.|C-130 Hercules;C-130;C130;C-130E;Hercules;Tp84;c/n 4039|in_storage|Flygvapenmuseum
Lockheed|Tp 84||843|C-130 Hercules||fixed_wing|monoplane|military|transport||Swedish Air Force code 843. Flown to Aeroseum from Cambridge in July 2022 and largely scrapped there; per Aeroseum's own July 2022 release usable sections were being evaluated for public display at the museum. Extent of the surviving airframe not confirmed on site. Earlier Swedish Wikipedia text listing a complete aircraft on display is superseded.|C-130 Hercules;C-130;C130;C-130H;Hercules;Tp84;c/n 4628|in_storage|Aeroseum
Macchi|M.7||945|||fixed_wing|biplane|military|fighter||The only surviving Macchi M.7 in the world. Restored and on display.|M7;Macchi M.7|on_display|Flygvapenmuseum
Malmö Flygindustri|Fpl 801||801-42|MFI-9 Junior||fixed_wing|monoplane|military|trainer||Ex SE-EUK. In storage.|MFI-9 Junior;MFI-9;MFI9;MFI-9B;Fpl801;c/n 04|in_storage|Flygvapenmuseum
Malmö Flygindustri|Fpl 54||54382|MFI-10 Vipan||fixed_wing|monoplane|military|utility||In storage; not on public display.|MFI-10 Vipan;MFI-10;MFI10;Vipan;Fpl54;c/n 03|in_storage|Flygvapenmuseum
Nieuport|IV.G||M 1|||fixed_wing|monoplane|military|other||The Swedish Army's first aeroplane and the only surviving Nieuport IV in the world.|Nieuport IV;Nieuport IVG|on_display|Flygvapenmuseum
Noorduyn|Tp 78||78001|Norseman||fixed_wing|monoplane|military|transport||In storage. Ex-USAAF 43-35418.|Norseman;UC-64;UC64;Tp78;c/n 492|in_storage|Flygvapenmuseum
Nord|NC.701||SE-KAE|Martinet||fixed_wing|monoplane|civilian|transport||In storage; not on public display.|NC701;NC.701;Martinet;Siebel Si 204;Si204;c/n 264|in_storage|Flygvapenmuseum
Nord|NC.701||SE-KAL|Martinet||fixed_wing|monoplane|civilian|transport|||NC701;NC.701;Martinet;Siebel Si 204;Si204;c/n 159|in_storage|Arlanda Flygsamlingar
Noorduyn|Sk 16|A|16033|Harvard||fixed_wing|monoplane|military|trainer|||AT-16;AT16;Harvard;T-6;T6;Texan;Sk16;c/n 14-772|on_display|Svedinos Bil- och Flygmuseum
Noorduyn|Sk 16|A|16109|Harvard||fixed_wing|monoplane|military|trainer||In storage; not on public display.|AT-16;AT16;Harvard;T-6;T6;Texan;Sk16;c/n 14-366|in_storage|Flygvapenmuseum
Noorduyn|Sk 16|A|16145|Harvard||fixed_wing|monoplane|military|trainer|||AT-16;AT16;Harvard;T-6;T6;Texan;Sk16;c/n 75-3497|on_display|Teknikland
North American|J 26||26020|P-51 Mustang||fixed_wing|monoplane|military|fighter||Gift from the Israeli Air Force; ex-IDF/AF 54. Its true identity is disputed and the quoted Swedish serial should be treated with caution.|P-51 Mustang;P-51;P51;P-51D;Mustang;J26;c/n 122-31718|on_display|Flygvapenmuseum
North American|J 26||26084|P-51 Mustang||fixed_wing|monoplane|military|fighter||The only known surviving example of the reconnaissance S 26 conversion. Designated a national reference example (riksexemplar). On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|P-51 Mustang;P-51;P51;P-51D;Mustang;J26;c/n 122-31971|on_display|Flygmuseet F 21
Percival|Tp 83||83004|Pembroke||fixed_wing|monoplane|military|transport||Suspended as decoration inside the shopping centre.|P-66;P66;Pembroke;Tp83;c/n P66/46|on_display|Eurostop Arlandastad
Percival|Tp 83||83007|Pembroke||fixed_wing|monoplane|military|transport|||P-66;P66;Pembroke;Tp83;c/n P66/51|on_display|Svedinos Bil- och Flygmuseum
Percival|Tp 83||83008|Pembroke||fixed_wing|monoplane|military|transport||Under restoration.|P-66;P66;Pembroke;Tp83;c/n P66/52|under_restoration|Flygvapenmuseum
Phönix Flugzeug-Werke|J 1||947|D.III||fixed_wing|biplane|military|fighter|||D.III;Phonix D.III;Phoenix D.III;DIII;J1|on_display|Flygvapenmuseum
Piper|Fpl 51|B|51256|PA-18 Super Cub||fixed_wing|monoplane|military|utility|||PA-18 Super Cub;PA-18;PA18;Super Cub;Fpl51|on_display|F11 Museum
Raab-Katzenstein|Sk 10||536|RK-26 Tigerschwalbe||fixed_wing|biplane|military|trainer||The only surviving RK-26 in the world. Swedish-built.|RK-26 Tigerschwalbe;RK-26;RK26;Tigerschwalbe;Sk10;c/n 20|on_display|Flygvapenmuseum
Reggiane|J 20||2305|Re.2000 Falco||fixed_wing|monoplane|military|fighter||Preserved tail section from a crashed aircraft; not a complete airframe. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Re.2000 Falco;Re.2000;Re2000;Falco;J20;c/n 352|on_display|Ängelholms Flygmuseum
Reggiane|J 20||2340|Re.2000 Falco||fixed_wing|monoplane|military|fighter|||Re.2000 Falco;Re.2000;Re2000;Falco;J20;c/n 405|on_display|Flygvapenmuseum
Saab|S 17|BL|17005|Saab 17||fixed_wing|monoplane|military|recon|||Saab 17;Saab17;S17;S17BL;S17-BL|on_display|Flygvapenmuseum
Saab|B 18|B|18172|Saab 18||fixed_wing|monoplane|military|bomber||Displayed while restoration continues. The only surviving Saab 18.|Saab 18;Saab18;B18;B18B;B18-B|under_restoration|Flygvapenmuseum
Saab|J 21|A-3|21311|Saab 21||fixed_wing|monoplane|military|fighter|||Saab 21;Saab21;J21;J21A-3;J21-A-3|on_display|F 15 Flygmuseum
Saab|A 21|A-3|21364|Saab 21||fixed_wing|monoplane|military|ground_attack|||Saab 21;Saab21;A21;A21A-3;A21-A-3|on_display|Flygvapenmuseum
Saab|A 21|R|21286|Saab 21||fixed_wing|monoplane|military|ground_attack||Rebuilt from a J 21A-3 airframe.|Saab 21;Saab21;A21;A21R(A21A-3);A21-R(A21A-3)|on_display|Flygvapenmuseum
Saab|J 29|A|29171|Tunnan||fixed_wing|monoplane|military|fighter||On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Tunnan;Saab 29;Saab29;J29;J29A;J29-A|on_display|Bunge Flygmuseum
Saab|J 29|A|29203|Tunnan||fixed_wing|monoplane|military|fighter|||Tunnan;Saab 29;Saab29;J29;J29A;J29-A|on_display|Svedinos Bil- och Flygmuseum
Saab|J 29|F|29373|Tunnan||fixed_wing|monoplane|military|fighter||This airframe appeared in the film Gula divisionen. Preserved at the museum since the mid-1990s.|Tunnan;Saab 29;Saab29;J29;J29F;J29-F|on_display|Jämtlands flyg- och lottamuseum
Saab|J 29|B|29398|Tunnan||fixed_wing|monoplane|military|fighter||Marked white E in F 22 Congo markings. In storage.|Tunnan;Saab 29;Saab29;J29;J29B;J29-B|in_storage|Flygvapenmuseum
Saab|J 29|F|29401|Tunnan||fixed_wing|monoplane|military|fighter||Gate guard beside the mess building at the former F 4 Frosön.|Tunnan;Saab 29;Saab29;J29;J29F;J29-F|on_display|Jämtlands flygflottilj F 4 Frösön
Saab|J 29|F|29507|Tunnan|Jubileumsflygplanet|fixed_wing|monoplane|military|fighter||In storage. Made the type's last flight at Malmen on 29 August 1976 during the Swedish Air Force 50th anniversary; hence its name Jubileumsflygplanet.|Tunnan;Saab 29;Saab29;J29;J29F;J29-F|in_storage|Flygvapenmuseum
Saab|J 29|F|29575|Tunnan||fixed_wing|monoplane|military|fighter||On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Tunnan;Saab 29;Saab29;J29;J29F;J29-F|on_display|Ängelholms Flygmuseum
Saab|J 29|F|29589|Tunnan||fixed_wing|monoplane|military|fighter|||Tunnan;Saab 29;Saab29;J29;J29F;J29-F|on_display|High Chaparral
Saab|J 29|F|29624|Tunnan||fixed_wing|monoplane|military|fighter|||Tunnan;Saab 29;Saab29;J29;J29F;J29-F|on_display|Aeroseum
Saab|J 29|F|29666|Tunnan||fixed_wing|monoplane|military|fighter|||Tunnan;Saab 29;Saab29;J29;J29F;J29-F|on_display|F 15 Flygmuseum
Saab|S 29|C|29902|Tunnan||fixed_wing|monoplane|military|recon||On loan to the museum since 2008.|Tunnan;Saab 29;Saab29;S29;S29C;S29-C|on_display|F11 Museum
Saab|S 29|C|29929|Tunnan||fixed_wing|monoplane|military|recon||Gate guard at the entrance to F 21 Kallax.|Tunnan;Saab 29;Saab29;S29;S29C;S29-C|on_display|Flygmuseet F 21
Saab|S 29|C|29937|Tunnan||fixed_wing|monoplane|military|recon||On loan to the museum since 2008.|Tunnan;Saab 29;Saab29;S29;S29C;S29-C|on_display|Flygmuseet F 21
Saab|S 29|C|29969|Tunnan||fixed_wing|monoplane|military|recon||Displayed outdoors in front of the museum. Previously stood at Vasteras flygmuseum and moved to Linkoping on 23 June 2021.|Tunnan;Saab 29;Saab29;S29;S29C;S29-C|on_display|Flygvapenmuseum
Saab|S 29|C|29970|Tunnan||fixed_wing|monoplane|military|recon|||Tunnan;Saab 29;Saab29;S29;S29C;S29-C|on_display|Flygvapenmuseum
Saab|S 29|C|29974|Tunnan||fixed_wing|monoplane|military|recon|||Tunnan;Saab 29;Saab29;S29;S29C;S29-C|on_display|Västerås Flygmuseum
Saab|A 32|A|32085|Lansen||fixed_wing|monoplane|military|ground_attack||Withdrawn from use in 1973 and then displayed as gate guard outside the guardhouse at F 7 Satenas. At F 15 Flygmuseum since 2008. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Lansen;Saab 32;Saab32;A32;A32A;A32-A|on_display|F 15 Flygmuseum
Saab|A 32|A|32151|Lansen||fixed_wing|monoplane|military|ground_attack||On a pole as gate guard in front of the wing guardhouse at Blekinge flygflottilj F 17 since 1990. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Lansen;Saab 32;Saab32;A32;A32A;A32-A|on_display|Blekinge flygflottilj F 17
Saab|A 32|A|32197|Lansen||fixed_wing|monoplane|military|ground_attack|||Lansen;Saab 32;Saab32;A32;A32A;A32-A|on_display|Flygvapenmuseum
Saab|A 32|A|32259|Lansen||fixed_wing|monoplane|military|ground_attack||On loan to the F 6 veterans association. Gate guard at the former F 6 Karlsborg since 1989. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Lansen;Saab 32;Saab32;A32;A32A;A32-A|on_display|Karlsborgs garnison F 6
Saab|J 32|B|32502|Lansen||fixed_wing|monoplane|military|fighter||Production prototype for the J 32B variant.|Lansen;Saab 32;Saab32;J32;J32B;J32-B|on_display|Gotlands Försvarsmuseum
Saab|J 32|E|32512|Lansen||fixed_wing|monoplane|military|fighter|||Lansen;Saab 32;Saab32;J32;J32E;J32-E|on_display|Aeroseum
Saab|J 32|E|32529|Lansen||fixed_wing|monoplane|military|fighter|||Lansen;Saab 32;Saab32;J32;J32E;J32-E|on_display|Flygmuseet F 21
Saab|J 32|B|32530|Lansen||fixed_wing|monoplane|military|fighter|||Lansen;Saab 32;Saab32;J32;J32B;J32-B|on_display|F 15 Flygmuseum
Saab|J 32|E|32541|Lansen||fixed_wing|monoplane|military|fighter||In storage; not on public display.|Lansen;Saab 32;Saab32;J32;J32E;J32-E|in_storage|Flygvapenmuseum
Saab|J 32|D|32548|Lansen||fixed_wing|monoplane|military|fighter||Transferred to Flygvapenmuseum in 1997; displayed for some years at the now-closed Gotlands flygmuseum in Visby; on loan to Bunge Flygmuseum since 2012.|Lansen;Saab 32;Saab32;J32;J32D;J32-D|on_display|Bunge Flygmuseum
Saab|J 32|B|32559|Lansen||fixed_wing|monoplane|military|fighter|||Lansen;Saab 32;Saab32;J32;J32B;J32-B|on_display|Svedinos Bil- och Flygmuseum
Saab|J 32|E|32569|Lansen||fixed_wing|monoplane|military|fighter|||Lansen;Saab 32;Saab32;J32;J32E;J32-E|on_display|Svedinos Bil- och Flygmuseum
Saab|J 32|B|32599|Lansen||fixed_wing|monoplane|military|fighter|||Lansen;Saab 32;Saab32;J32;J32B;J32-B|on_display|Österlens Flygmuseum
Saab|J 32|E|32601|Lansen||fixed_wing|monoplane|military|fighter||On loan here since 2008. Restored in 2017 to original J 32B configuration but not airworthy.|Lansen;Saab 32;Saab32;J32;J32E;J32-E|on_display|Jämtlands flyg- och lottamuseum
Saab|J 32|D|32603|Lansen||fixed_wing|monoplane|military|fighter||On loan to the museum since 2016.|Lansen;Saab 32;Saab32;J32;J32D;J32-D|on_display|F 7 Gårds- och Flottiljmuseum
Saab|J 32|E|32612|Lansen||fixed_wing|monoplane|military|fighter|||Lansen;Saab 32;Saab32;J32;J32E;J32-E|on_display|Västerås Flygmuseum
Saab|J 32|D|32615|Lansen||fixed_wing|monoplane|military|fighter|||Lansen;Saab 32;Saab32;J32;J32D;J32-D|on_display|RFN Museum Vidsel
Saab|J 32|D|32616|Lansen||fixed_wing|monoplane|military|fighter|||Lansen;Saab 32;Saab32;J32;J32D;J32-D|on_display|RFN Museum Vidsel
Saab|S 32|C|32917|Lansen||fixed_wing|monoplane|military|recon||In storage; not on public display.|Lansen;Saab 32;Saab32;S32;S32C;S32-C|in_storage|Flygvapenmuseum
Saab|S 32|C|32940|Lansen||fixed_wing|monoplane|military|recon||One of only two surviving S 32C reconnaissance Lansens; the other is in storage at Flygvapenmuseum.|Lansen;Saab 32;Saab32;S32;S32C;S32-C|in_storage|F11 Museum
Saab|Saab 35||35-1|Draken||fixed_wing|monoplane|military|experimental||The first Draken prototype.|Draken;Saab35|on_display|Svedinos Bil- och Flygmuseum
Saab|Saab 35||35-5|Draken||fixed_wing|monoplane|military|experimental||Fifth Draken prototype; struck off after 655 flights in 1966 and passed to the Royal Institute of Technology where skin panels on the right side were removed for teaching. To Flygvapenmuseum 1982 and on loan here since 2008. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab35|on_display|Österlens Flygmuseum
Saab|Saab 35||35-9|Draken||fixed_wing|monoplane|military|experimental||Ninth Draken test airframe; forward fuselage only mounted on a rocket sled and used for high-speed ejection-seat trials in the USA. Painted white with a dragon motif on the nose. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab35|on_display|Österlens Flygmuseum
Saab|J 35|A|35051|Draken||fixed_wing|monoplane|military|fighter||Withdrawn in 1977 after 1169 flying hours and taken over by Flygvapenmuseum the same year; on loan here since 2013. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35A;J35-A|on_display|Österlens Flygmuseum
Saab|J 35|A|35066|Draken||fixed_wing|monoplane|military|fighter||Flew with the F 16 display team 1965-1978. Stood at Sundsvall Timra Airport after withdrawal and moved to Ornskoldsvik in the early 1990s.|Draken;Saab 35;Saab35;J35;J35A;J35-A|on_display|Örnsköldsvik Airport
Saab|J 35|A|35090|Draken||fixed_wing|monoplane|military|fighter||Long-tail J 35A (Adam lang) delivered December 1961. Flew with an F 16 display team marked with the yellow ray. Gate guard at F 16 Uppsala from 1979 to 1988 then to Flygvapenmuseum; on loan here since September 2010.|Draken;Saab 35;Saab35;J35;J35A;J35-A|on_display|Österlens Flygmuseum
Saab|J 35|B|35220|Draken||fixed_wing|monoplane|military|fighter||Painted in camouflage. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35B;J35-B|on_display|High Chaparral
Saab|J 35|B|35221|Draken||fixed_wing|monoplane|military|fighter||Withdrawn 28 June 1973 and formally struck off 19 July 1973. Flown to Malmen on 28 November 1973 and conserved with Tectyl in 1979; stored outdoors until 1987 then to the Gripen school at Nykoping. Returned to Tullinge in December 2003 and restored by the F 18 veterans association for an intended gate guard that was never erected; on loan here since 2012. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35B;J35-B|on_display|Österlens Flygmuseum
Saab|J 35|B|35235|Draken||fixed_wing|monoplane|military|fighter||Accepted 1962 and struck off charge 1976; then stood at F 14 Halmstad. Only the forward fuselage now survives. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35B;J35-B|on_display|Österlens Flygmuseum
Saab|J 35|B|35244|Draken||fixed_wing|monoplane|military|fighter||Forward fuselage only; preserved as a simulator.|Draken;Saab 35;Saab35;J35;J35B;J35-B|on_display|Arboga Robotmuseum
Saab|J 35|D|35344|Draken||fixed_wing|monoplane|military|fighter||Delivered 1964; served with F 13 Norrkoping F 3 Malmslatt F 10 Angelholm and F 21 Lulea. Withdrawn 1984 after more than 2000 flying hours. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Draken;Saab 35;Saab35;J35;J35D;J35-D|on_display|Österlens Flygmuseum
Saab|J 35|Ö|35373|Draken||fixed_wing|monoplane|military|fighter||Ex-Austrian Air Force J 35OE; wore the number 19 and Austrian serial 351419|Draken;Saab 35;Saab35;J35;J35Ö;J35-Ö|on_display|Arboga Robotmuseum
Saab|J 35|D|35375|Draken||fixed_wing|monoplane|military|fighter|||Draken;Saab 35;Saab35;J35;J35D;J35-D|on_display|Flygvapenmuseum
Saab|J 35|D|35388|Draken||fixed_wing|monoplane|military|fighter||Gate guard beside the mess building at the former F 4 Frosön. Placed on its pole in 1986; during the lift a strap broke and the aircraft hit the ground damaging the nose. Svensk Flyghistorisk Förening and a dated 2004 on-site photograph record this airframe as 35388 while Swedish Wikipedia records 35386. Recorded as 35388 with 35386 retained as an alias.|Draken;Saab 35;Saab35;J35;J35D;J35-D;35386|on_display|Jämtlands flygflottilj F 4 Frösön
Saab|J 35|D|35392|Draken||fixed_wing|monoplane|military|fighter|||Draken;Saab 35;Saab35;J35;J35D;J35-D|on_display|Jämtlands flyg- och lottamuseum
Saab|J 35|F-1|35404|Draken||fixed_wing|monoplane|military|fighter||Gate guard at the former F 12 Kalmar.|Draken;Saab 35;Saab35;J35;J35F-1;J35-F-1|on_display|Kalmar Öland Airport
