id,state,museum,aircraft,aliases_before,aliases_after,description_before,description_after,had_description
359,California,Castle Air Museum,Convair HC-131-A 53-7786,c/n 133 | displayed as US Coast Guard 5786,c/n 133,Twin-engine search and rescue transport derived from the Convair 240 airliner.,Twin-engine search and rescue transport derived from the Convair 240 airliner.; displayed as US Coast Guard 5786,True
8301,California,Castle Air Museum,Convair TF-102-A 56-2364,two-seat Delta Dagger trainer | arrived September 2006 from Sacramento International where it had been a fire trainer | static restoration under way,,,two-seat Delta Dagger trainer; arrived September 2006 from Sacramento International where it had been a fire trainer; static restoration under way,False
370,California,Castle Air Museum,Douglas SBD-4 10508,BuNo 10508 | c/n 2468 | long-term restoration project | the museum's 100508 carries an extra digit,BuNo 10508 | c/n 2468,Carrier dive bomber that sank four Japanese carriers at Midway and turned the Pacific war.,Carrier dive bomber that sank four Japanese carriers at Midway and turned the Pacific war.; long-term restoration project; the museum's 100508 carries an extra digit,True
376,California,Castle Air Museum,Grumman A-6-E 159579,the museum gives BuNo 159579 in NK markings and a survey gives 157579 delivered from AMARG 5 March 2021,,All-weather carrier attack aircraft able to strike in darkness and bad weather with radar bombing.,All-weather carrier attack aircraft able to strike in darkness and bad weather with radar bombing.; the museum gives BuNo 159579 in NK markings and a survey gives 157579 delivered from AMARG 5 March 2021,True
424,California,Castle Air Museum,Grumman TBM-3E 91188,BuNo 91188 | civil registration N108Q | arrived 30 May 2024 | in the restoration hangar,BuNo 91188,Torpedo bomber recovered after ditching off Daytona Beach in 2022; received by the museum in May 2024.,Torpedo bomber recovered after ditching off Daytona Beach in 2022; received by the museum in May 2024.; civil registration N108Q; arrived 30 May 2024; in the restoration hangar,True
425,California,Castle Air Museum,Hiller UH-12-A,donated December 2023 by the Hiller Aviation Museum | no serial published,,Early light helicopter donated to the museum in December 2023.,Early light helicopter donated to the museum in December 2023.; donated December 2023 by the Hiller Aviation Museum; no serial published,True
380,California,Castle Air Museum,Kaman HH-43-B 62-4513,c/n 139 | built as an HH-43B and converted to HH-43F | the museum's own page prints 62-4213 which is a Hughes YOH-6A at Fort Rucker,c/n 139,"Intermeshing-rotor crash rescue helicopter, stationed at airfields for immediate fire response.","Intermeshing-rotor crash rescue helicopter, stationed at airfields for immediate fire response.; built as an HH-43B and converted to HH-43F; the museum's own page prints 62-4213 which is a Hughes YOH-6A at Fort Rucker",True
382,California,Castle Air Museum,Lockheed C-56 N1020V,Lockheed Model 18 construction number 18-2035 | identified elsewhere as an XC-60B | no USAAF serial verified,,"Military version of the Model 18 Lodestar airliner, used for staff and light cargo transport.","Military version of the Model 18 Lodestar airliner, used for staff and light cargo transport.; Lockheed Model 18 construction number 18-2035; identified elsewhere as an XC-60B; no USAAF serial verified",True
383,California,Castle Air Museum,Lockheed EC-121-T 52-3417,N4257L | ex-civil N4257L | Lockheed c/n 1049A-4335 | ex-Helena Regional Airport Montana | the museum lists the construction number in place of the serial,N4257L,"Airborne early warning conversion of the Constellation, carrying radar in dorsal and ventral radomes.","Airborne early warning conversion of the Constellation, carrying radar in dorsal and ventral radomes.; ex-civil N4257L; Lockheed c/n 1049A-4335; ex-Helena Regional Airport Montana; the museum lists the construction number in place of the serial",True
384,California,Castle Air Museum,Lockheed F-104-D 57-1314,c/n 5026 | painted as F-104B 57-1312 with buzz number FG-312 | an older museum page gave the identity as 57-1330,c/n 5026,Two-seat version of the razor-winged Mach 2 interceptor known as the missile with a man in it.,Two-seat version of the razor-winged Mach 2 interceptor known as the missile with a man in it.; painted as F-104B 57-1312 with buzz number FG-312; an older museum page gave the identity as 57-1330,True
393,California,Castle Air Museum,McDonnell Douglas VC-9-C 73-1681,c/n 47668 | the VC-9C block is 73-1681 to 73-1683 so the museum's 73-1781 is not a valid serial | 73-1682 is at the AMC Museum and 73-1683 at Evergreen,c/n 47668,Presidential and vice-presidential transport that served as Air Force One and Air Force Two; open for tours.,Presidential and vice-presidential transport that served as Air Force One and Air Force Two; open for tours.; the VC-9C block is 73-1681 to 73-1683 so the museum's 73-1781 is not a valid serial; 73-1682 is at the AMC Museum and 73-1683 at Evergreen,True
399,California,Castle Air Museum,NASA Hyper III,Hyper 3 | Hyper III | Lifting body,Hyper 3 | Hyper III,Remotely piloted lifting-body research vehicle flown once at Dryden to study low-speed lifting-body handling.,Remotely piloted lifting-body research vehicle flown once at Dryden to study low-speed lifting-body handling.; Lifting body,True
400,California,Castle Air Museum,Noorduyn AT-16 2951,Harvard Mk.II | RCAF serial 2951,Harvard Mk.II,"Canadian-built Harvard, the Commonwealth counterpart of the AT-6 Texan advanced trainer.","Canadian-built Harvard, the Commonwealth counterpart of the AT-6 Texan advanced trainer.; RCAF serial 2951",True
8300,California,Castle Air Museum,PZL-Mielec Lim-5 010,c/n 1A1010 | Polish licence-built MiG-17F | ex-Afghan Air Force | recorded in the AMARC MiG disposal register as transferred to Castle | absent from the museum's public collection page,c/n 1A1010,,Polish licence-built MiG-17F; ex-Afghan Air Force; recorded in the AMARC MiG disposal register as transferred to Castle; absent from the museum's public collection page,False
416,California,Castle Air Museum,Ryan PT-22 41-20850,the museum gives 41-20850 and a survey gives 41-20580 with c/n 2059,,Open-cockpit monoplane primary trainer with a distinctive exposed radial engine.,Open-cockpit monoplane primary trainer with a distinctive exposed radial engine.; the museum gives 41-20850 and a survey gives 41-20580 with c/n 2059,True
420,California,Castle Air Museum,Stinson L-5-E 44-18145,c/n 76-3419 | the museum lists the construction number in place of the serial,c/n 76-3419,Liaison and observation aircraft used for artillery spotting and casualty evacuation.,Liaison and observation aircraft used for artillery spotting and casualty evacuation.; the museum lists the construction number in place of the serial,True
422,California,Castle Air Museum,Vultee BT-13-B 42-89678,the museum gives 42-89678 and a survey gives 42-86978 | a BT-13B is doubtful for this serial block and it is probably a BT-13A,,"Basic trainer flown between primary and advanced training, nicknamed the Vultee Vibrator.","Basic trainer flown between primary and advanced training, nicknamed the Vultee Vibrator.; the museum gives 42-89678 and a survey gives 42-86978; a BT-13B is doubtful for this serial block and it is probably a BT-13A",True
1883,California,Chico Air Museum,Rotary Air Force RAF 2000-GTX SE,RAF 2000 | gyrocopter,RAF 2000,,gyrocopter,False
1885,California,Chico Air Museum,SPAD S.XIII,SPAD XIII | replica,SPAD XIII,,replica,False
1884,California,Chico Air Museum,Schreder HP-11,HP-11 | Airmate | glider,HP-11 | Airmate,,glider,False
747,California,Classic Rotors Museum,Air & Space Manufacturing 18-A N6131S,18A | J-2 | Umbaugh | autogyro,18A | J-2 | Umbaugh,,autogyro,False
733,California,Classic Rotors Museum,DuPont Aerospace DP-1-C,DP-1C | tilt-duct VTOL,DP-1C,,tilt-duct VTOL,False
729,California,Classic Rotors Museum,Hiller Camel,Camel | Collapsible Airborne Military Equipment,Camel,,Collapsible Airborne Military Equipment,False
2827,California,Golden Age Flight Museum,Ken Brock KB-2,KB-2 | gyrocopter,KB-2,,gyrocopter,False
2822,California,Golden Age Flight Museum,Mitchell U-2,Mitchell U-2 | flying wing,Mitchell U-2,,flying wing,False
2814,California,Golden Age Flight Museum,Nelson Dragonfly,Dragonfly | sailplane,Dragonfly,,sailplane,False
2820,California,Golden Age Flight Museum,Schweizer 1-26,Schweizer | 1-26,Schweizer,,1-26,False
3188,California,Hiller Aviation Museum,Boeing 737-200,737 | cockpit section,737,,cockpit section,False
3191,California,Hiller Aviation Museum,Boeing 747-136 G-AWNG,747 | forward fuselage,747,,forward fuselage,False
3204,California,Hiller Aviation Museum,Bright Star Swift,Swift | glider,Swift,,glider,False
3160,California,Hiller Aviation Museum,Curtiss Model D,Curtiss Pusher | replica,Curtiss Pusher,,replica,False
3163,California,Hiller Aviation Museum,Curtiss Pusher,Little Looper | replica,Little Looper,,replica,False
3170,California,Hiller Aviation Museum,EAA Penguin,Penguin | ground trainer,Penguin,,ground trainer,False
3164,California,Hiller Aviation Museum,Fokker Dr.I,Dr.I | Triplane | replica,Dr.I | Triplane,,replica,False
3184,California,Hiller Aviation Museum,Hiller VXT-8,VXT-8 | Coleopter | replica,VXT-8 | Coleopter,,replica,False
3172,California,Hiller Aviation Museum,Hiller XH-44,XH-44 | replica,XH-44,,replica,False
3175,California,Hiller Aviation Museum,Jet Propulsion Laboratory Thunderbird,Thunderbird | sounding rocket,Thunderbird,,sounding rocket,False
3208,California,Hiller Aviation Museum,Kitty Hawk Flyer,Kitty Hawk Flyer | eVTOL,Kitty Hawk Flyer,,eVTOL,False
3155,California,Hiller Aviation Museum,Marriott Avitor,Avitor | replica,Avitor,,replica,False
3156,California,Hiller Aviation Museum,Montgomery Gull Glider,Montgomery | replica,Montgomery,,replica,False
3158,California,Hiller Aviation Museum,Montgomery Santa Clara Glider,Montgomery | replica,Montgomery,,replica,False
3197,California,Hiller Aviation Museum,NASA AD-1,AD-1 | Oblique Wing,AD-1,,Oblique Wing,False
3201,California,Hiller Aviation Museum,NASA OAW,OAW | Oblique All Wing,OAW,,Oblique All Wing,False
3209,California,Hiller Aviation Museum,Opener BlackFly,BlackFly | eVTOL,BlackFly,,eVTOL,False
3207,California,Hiller Aviation Museum,Scaled Composites SpaceShipOne,SpaceShipOne | replica,SpaceShipOne,,replica,False
3210,California,Hiller Aviation Museum,Wisk Aero Cora-Gen5,Cora | Wisk | eVTOL,Cora | Wisk,,eVTOL,False
3162,California,Hiller Aviation Museum,Wright EX,Vin Fiz | replica,Vin Fiz,,replica,False
3157,California,Hiller Aviation Museum,Wright Flyer,Wright Flyer | replica,Wright Flyer,,replica,False
1909,California,Moffett Field Museum,Hawker Siddeley AV-8-A,AV-8 | Harrier | cockpit section,AV-8 | Harrier,,cockpit section,False
1913,California,Moffett Field Museum,Lockheed TP-3-A 151370,TP-3 | P-3 | Orion | cockpit section,TP-3 | P-3 | Orion,,cockpit section,False
1915,California,Moffett Field Museum,Vought F-8-A 145399,F-8 | Crusader | cockpit section,F-8 | Crusader,,cockpit section,False
1918,California,Mojave Air & Space Port Legacy Park,Scaled Composites SpaceShipOne,SpaceShipOne | SS1 | replica,SpaceShipOne | SS1,,replica,False
2846,California,Museum of Flying,Cassutt III,Cassutt | air racer,Cassutt,,air racer,False
2852,California,Museum of Flying,Lockheed T-33,T-33 | T-Bird | cockpit section,T-33 | T-Bird,,cockpit section,False
2853,California,Museum of Flying,Lockheed Vega,Vega | movie prop | replica,Vega,,movie prop; replica,False
2854,California,Museum of Flying,Monnett Monerai N450SP,Monerai | glider,Monerai,,glider,False
2861,California,Museum of Flying,Wright Flyer,Wright Flyer | movie prop | replica,Wright Flyer,,movie prop; replica,False
880,California,Oakland Aviation Museum,Aeronca 7AC NC2758E,Champ | 7AC,Champ,,7AC,False
897,California,Oakland Aviation Museum,Douglas DC-6-BF N444SQ,DC-6 | nose section,DC-6,,nose section,False
898,California,Oakland Aviation Museum,Grumman S-2-A 136624,S-2 | Tracker | nose section,S-2 | Tracker,,nose section,False
893,California,Oakland Aviation Museum,Short Solent-III G-AKNP,Solent | flying boat,Solent,,flying boat,False
5053,California,Palm Springs Air Museum,Bell H-13,H-13 | Sioux | on loan,H-13 | Sioux,,on loan,False
5055,California,Palm Springs Air Museum,Boeing Skyfox N221SF,Skyfox | T-33 derivative,Skyfox,,T-33 derivative,False
5056,California,Palm Springs Air Museum,Commonwealth Sabre-Mk32 F-8612,CA-27 | Sabre | on loan,CA-27 | Sabre,,on loan,False
5057,California,Palm Springs Air Museum,Fairchild C-119-G 53-8154,C-119 | Flying Boxcar | fuselage only,C-119 | Flying Boxcar,,fuselage only,False
671,California,Planes of Fame Air Museum,Horten H.IV,Horten | Flying Wing,Horten,,Flying Wing,False
3000,California,Prop and Jet Air Museum,Fokker Dr.I N113PC,Dr.I | Triplane | replica,Dr.I | Triplane,,replica,False
124,California,Ronald Reagan Presidential Library,Boeing VC-137-C 72-7000,Air Force One | VC137 | SAM 27000 | C-137 | C137 | 707-353B,Air Force One | VC137 | SAM 27000 | C-137 | C137,,707-353B,False
2250,California,San Diego Air & Space Museum Gillespie Field Annex,Wright EX,Wright EX | Vin Fiz | replica,Wright EX | Vin Fiz,,replica,False
2220,California,San Diego Air and Space Museum,Albatros D.Va,Albatros D.Va | replica,Albatros D.Va,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; replica",True
2230,California,San Diego Air and Space Museum,Beachey-Eaton Little Looper,Little Looper | Beachey | replica,Little Looper | Beachey,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; replica",True
2237,California,San Diego Air and Space Museum,Bell X-1,X-1 | XS-1 | replica,X-1 | XS-1,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; replica",True
2197,California,San Diego Air and Space Museum,Boeing P-26,P-26 | Peashooter | replica,P-26 | Peashooter,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; replica",True
2213,California,San Diego Air and Space Museum,Bowlus SP-1,SP-1 | Paperwing | replica,SP-1 | Paperwing,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; replica",True
2219,California,San Diego Air and Space Museum,Fokker Dr.I 477/18,Dr.I | Triplane | Red Baron | replica,Dr.I | Triplane | Red Baron,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; replica",True
2221,California,San Diego Air and Space Museum,Fokker E III,Eindecker | replica,Eindecker,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; replica",True
2226,California,San Diego Air and Space Museum,George Cayley Glider,Cayley Glider | replica,Cayley Glider,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; replica",True
2189,California,San Diego Air and Space Museum,Granville Brothers R-1,Gee Bee | R-1 | replica,Gee Bee | R-1,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; replica",True
2198,California,San Diego Air and Space Museum,Horten 229-V3,Ho 229 | Horten | replica,Ho 229 | Horten,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; replica",True
2225,California,San Diego Air and Space Museum,Leonardo da Vinci Ornithopter,Ornithopter | da Vinci | replica,Ornithopter,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; da Vinci; replica",True
2212,California,San Diego Air and Space Museum,Lockheed Vega-5B,Vega | replica,Vega,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; replica",True
2196,California,San Diego Air and Space Museum,McDonnell Gemini,Gemini | mock-up | replica,Gemini,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; mock-up; replica",True
2190,California,San Diego Air and Space Museum,McDonnell Mercury,Mercury | mock-up | replica,Mercury,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; mock-up; replica",True
2201,California,San Diego Air and Space Museum,Messerschmitt Bf 109-G-14,Bf 109 | Gustav | replica,Bf 109 | Gustav,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; replica",True
2233,California,San Diego Air and Space Museum,Octave Chanute Glider,Chanute Glider | replica,Chanute Glider,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; replica",True
2227,California,San Diego Air and Space Museum,Otto Lilienthal No. 11,Lilienthal | replica,Lilienthal,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; replica",True
2211,California,San Diego Air and Space Museum,Ryan M-1,Ryan M-1 | replica,Ryan M-1,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; replica",True
2235,California,San Diego Air and Space Museum,Ryan NYP-3,NYP | Spirit of St. Louis | replica,NYP,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; Spirit of St. Louis; replica",True
2236,California,San Diego Air and Space Museum,Sopwith Pup,Sopwith Pup | replica,Sopwith Pup,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; replica",True
2232,California,San Diego Air and Space Museum,Wright Brothers 1901 Glider,Wright Glider | replica,Wright Glider,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; replica",True
2229,California,San Diego Air and Space Museum,Wright Brothers 1902 Glider,Wright Glider | replica,Wright Glider,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; replica",True
2241,California,San Diego Air and Space Museum,Wright Brothers EX,Wright EX | Vin Fiz | replica,Wright EX | Vin Fiz,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; replica",True
2240,California,San Diego Air and Space Museum,Wright Brothers Flyer,Wright Flyer | replica,Wright Flyer,"Replica / reproduction, not an original airframe.","Replica / reproduction, not an original airframe.; replica",True
3216,California,The American Military Museum,Bell UH-1,UH-1 | Huey | gunship,UH-1 | Huey,,gunship,False
3599,California,Tomorrow's Aeronautical Museum,Cessna 152 N4644Q,152 | Tuskegee tribute,152,,Tuskegee tribute,False
1930,California,"USS Hornet Sea, Air & Space Museum",McDonnell Gemini-Boilerplate MSC-302,Gemini | boilerplate,Gemini,,boilerplate,False
1929,California,"USS Hornet Sea, Air & Space Museum",McDonnell Gemini-Boilerplate MSC-307,Gemini | boilerplate,Gemini,,boilerplate,False
2309,California,USS Midway Museum,Cessna O-1,O-1 | Bird Dog | replica,O-1 | Bird Dog,,replica,False
2292,California,USS Midway Museum,Douglas TBD-1,Devastator | replica | film prop,Devastator,"Full-scale replica built as a prop for the 2019 film Midway; not an original airframe. Assembled by museum volunteers, on display since October 2019.","Full-scale replica built as a prop for the 2019 film Midway; not an original airframe. Assembled by museum volunteers, on display since October 2019.; replica; film prop",True
2316,California,Warbirds West Air Museum,Schweizer SGS 2-8 42-53018,SGS 2-8 | TG-2 | glider,SGS 2-8 | TG-2,,glider,False
1944,California,Western Museum of Flight,Bede BD-5,BD-5 | Octopussy scheme,BD-5,,Octopussy scheme,False
1937,California,Western Museum of Flight,Norman Ward Montgomery Glider,Montgomery | replica,Montgomery,,replica,False
1936,California,Western Museum of Flight,Northrop JB-1,JB-1 | Bat | MX-543 | flying wing,JB-1 | Bat | MX-543,,flying wing,False
2602,California,Wings of History Air Museum,Aeronca 7AC,Champ | 7AC,Champ,,7AC,False
2618,California,Wings of History Air Museum,Alexander Primary Glider,Alexander | primary glider,Alexander,,primary glider,False
2603,California,Wings of History Air Museum,Bowlus BB-1,BB-1 | Dragonfly | glider,BB-1 | Dragonfly,,glider,False
2597,California,Wings of History Air Museum,Marketello Stahltaube N1381N,Stahltaube | Taube | reproduction,Stahltaube | Taube,,reproduction,False
2611,California,Wings of History Air Museum,Volmer Jensen Penguin,Penguin | ground trainer,Penguin,,ground trainer,False
2600,California,Wings of History Air Museum,Wright Flyer,Wright Flyer | reproduction,Wright Flyer,,reproduction,False
464,California,Yanks Air Museum,Aeronca 65-CA N33853,Super Chief | Aeronca 65CA,Super Chief,,Aeronca 65CA,False
438,California,Yanks Air Museum,Command-Aire 3-C-3,Command-Aire 3C3,,,Command-Aire 3C3,False
441,California,Yanks Air Museum,ERCO 415-D N99229,Ercoupe | 415-D,Ercoupe,,415-D,False
443,California,Yanks Air Museum,Great Lakes 2T-1-A,Sport Trainer | 2T-1A,Sport Trainer,,2T-1A,False
483,California,Yanks Air Museum,Laister-Kauffman TG-4-A N54567,TG-4A | LK-10A | glider,TG-4A | LK-10A,,glider,False
542,California,Yanks Air Museum,McDonnell Douglas F/A-18-B 161943,Hornet | F/A-18B,Hornet,,F/A-18B,False
557,California,Yanks Air Museum,Schweizer SGS 2-12,SGS 2-12 | glider,SGS 2-12,,glider,False
492,California,Yanks Air Museum,Schweizer TG-3-A,TG-3A | glider,TG-3A,,glider,False
540,California,Yanks Air Museum,Sikorsky HH-52-A 1375,HH-52A | Sea Guard,HH-52A,,Sea Guard,False
489,California,Yanks Air Museum,Waco CG-4-A,CG-4A | Hadrian | Waco glider,CG-4A | Hadrian,,Waco glider,False
430,California,Yanks Air Museum,Wright Flyer,Wright Flyer | Flyer | replica,Wright Flyer | Flyer,,replica,False
6172,Cambridgeshire,Imperial War Museum Duxford,Avro Rota-I HM580,Cierva C.30A | autogyro,Cierva C.30A,,autogyro,False
6176,Cambridgeshire,Imperial War Museum Duxford,BAC Concorde-101 G-AXDN,Aerospatiale/BAC | pre-production prototype,,,Aerospatiale/BAC; pre-production prototype,False
6182,Cambridgeshire,Imperial War Museum Duxford,Boeing B-17-G 44-85784,G-BEDF | airworthy,G-BEDF,,airworthy,False
6189,Cambridgeshire,Imperial War Museum Duxford,Bristol Beaufighter-XIc JM135,A19-144 | composite of four airframes,A19-144,,composite of four airframes,False
6186,Cambridgeshire,Imperial War Museum Duxford,Bristol Blenheim-IF L6739,G-BPIV | airworthy,G-BPIV,,airworthy,False
6234,Cambridgeshire,Imperial War Museum Duxford,Curtiss Hawk 75-A G-CCVH,82 | airworthy,82,,airworthy,False
6231,Cambridgeshire,Imperial War Museum Duxford,Curtiss P-40-B G-CDWH,16073 | airworthy,16073,,airworthy,False
6232,Cambridgeshire,Imperial War Museum Duxford,Curtiss P-40-C 41-13357,G-CIIO | airworthy,G-CIIO,,airworthy,False
6233,Cambridgeshire,Imperial War Museum Duxford,Curtiss P-40-F 41-19841,G-CGZP | airworthy,G-CGZP,,airworthy,False
6210,Cambridgeshire,Imperial War Museum Duxford,Gloster Gladiator-II N5903,G-GLAD | airworthy,G-GLAD,,airworthy,False
6211,Cambridgeshire,Imperial War Museum Duxford,Grumman F8F-2P 121714,G-RUMM | N700HL | airworthy,G-RUMM | N700HL,,airworthy,False
6214,Cambridgeshire,Imperial War Museum Duxford,Handley Page Victor-K.2 XH669,cockpit section only,,,cockpit section only,False
6218,Cambridgeshire,Imperial War Museum Duxford,Hawker Fury-I K5674,G-CBZP | airworthy,G-CBZP,,airworthy,False
6221,Cambridgeshire,Imperial War Museum Duxford,Hawker Hurricane-I P2902,G-ROBT | airworthy,G-ROBT,,airworthy,False
6222,Cambridgeshire,Imperial War Museum Duxford,Hawker Hurricane-I R4118,G-HUPW | airworthy,G-HUPW,,airworthy,False
6224,Cambridgeshire,Imperial War Museum Duxford,Hawker Hurricane-I V7497,G-HRLI | airworthy,G-HRLI,,airworthy,False
6223,Cambridgeshire,Imperial War Museum Duxford,Hawker Hurricane-TR.2B BE505,G-HHII | two-seat conversion | airworthy,G-HHII,,two-seat conversion; airworthy,False
6220,Cambridgeshire,Imperial War Museum Duxford,Hawker Nimrod-II K3661,G-BURZ | airworthy,G-BURZ,,airworthy,False
